Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,FunctioNo aplical,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,SalePrice_Present
1042,527450520,160,RM,21.0,1890,Pave,No aplica,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,6,1972,1972,Gable,CompShg,HdBoard,HdBoard,BrkFace,422.0,TA,TA,CBlock,TA,TA,No,LwQ,483.0,Unf,0.0,0.0,483.0,GasA,Gd,Y,SBrkr,483,504,0,987,0.0,0.0,1,1,2,1,TA,5,Typ,0,No aplica,Detchd,1975,Unf,1.0,352.0,TA,TA,Y,411,0,0,0,0,0,No aplica,No aplica,No aplica,0,4,2008,WD ,Normal,100500,149404.88910775178
1047,527452150,120,RL,53.0,4043,Pave,No aplica,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,TwnhsE,1Story,6,6,1977,1977,Gable,CompShg,Plywood,Plywood,No aplica,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,559.0,Unf,0.0,510.0,1069.0,GasA,TA,Y,SBrkr,1069,0,0,1069,0.0,0.0,2,0,2,1,TA,4,Typ,0,No aplica,Attchd,1977,RFn,2.0,440.0,TA,TA,Y,0,55,0,0,200,0,No aplica,No aplica,No aplica,0,10,2008,COD,Abnorml,140000,208126.21368244028
1073,528186030,120,RL,62.0,12677,Pave,No aplica,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2003,2004,Hip,CompShg,MetalSd,MetalSd,BrkFace,472.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1218.0,Unf,0.0,300.0,1518.0,GasA,Ex,Y,SBrkr,1518,0,0,1518,0.0,0.0,1,1,1,1,Ex,6,Typ,1,Gd,Attchd,2003,RFn,2.0,588.0,TA,TA,Y,185,140,0,0,0,0,No aplica,No aplica,No aplica,0,4,2008,WD ,Normal,274000,407332.732492776
1103,528346050,20,RL,136.0,11675,Pave,No aplica,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,1Story,8,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,495.0,Gd,TA,PConc,Gd,TA,Av,GLQ,1660.0,Unf,0.0,322.0,1982.0,GasA,Ex,Y,SBrkr,2006,0,0,2006,1.0,0.0,2,0,2,1,Gd,5,Typ,1,TA,Attchd,1998,Fin,3.0,938.0,TA,TA,Y,144,33,0,0,0,0,No aplica,No aplica,No aplica,0,7,2008,WD ,Normal,350000,520315.5342061008
1350,903235100,30,RM,60.0,6324,Pave,No aplica,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,No aplica,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,520.0,520.0,GasA,Fa,N,SBrkr,520,0,0,520,0.0,0.0,1,0,1,1,Fa,4,Typ,0,No aplica,Detchd,1920,Unf,1.0,240.0,Fa,TA,Y,49,0,87,0,0,0,No aplica,No aplica,No aplica,0,5,2008,WD ,Normal,68500,101833.183123194
1393,905202230,20,RL,80.5,13500,Pave,No aplica,Reg,Lvl,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,1Story,6,7,1960,1975,Flat,CompShg,BrkFace,Plywood,No aplica,0.0,TA,TA,CBlock,Gd,TA,Gd,BLQ,429.0,ALQ,1080.0,93.0,1602.0,GasA,Gd,Y,SBrkr,1252,0,0,1252,1.0,0.0,1,0,1,1,TA,4,Typ,1,Gd,Attchd,1960,RFn,2.0,564.0,TA,TA,Y,409,0,0,0,0,0,No aplica,No aplica,No aplica,0,3,2008,WD ,Normal,235000,349354.71582409623
1854,533250190,120,RL,50.0,9466,Pave,No aplica,IR2,Lvl,AllPub,FR2,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1994,1995,Gable,CompShg,BrkFace,BrkFace,No aplica,0.0,Gd,TA,PConc,Gd,TA,Gd,LwQ,457.0,ALQ,1037.0,0.0,1494.0,GasA,Ex,Y,SBrkr,1494,0,0,1494,1.0,0.0,1,1,1,1,Gd,5,Typ,1,Gd,Attchd,1994,Fin,2.0,478.0,TA,TA,Y,0,30,0,0,217,0,No aplica,No aplica,No aplica,0,5,2007,WD ,Normal,279700,431669.1102708542
2242,910206010,50,RM,64.0,11067,Pave,No aplica,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,2,4,1939,1950,Gable,CompShg,MetalSd,MetalSd,No aplica,0.0,TA,TA,BrkTil,No aplica,No aplica,No aplica,No aplica,0.0,No aplica,0.0,0.0,0.0,GasA,Ex,Y,SBrkr,640,0,205,845,0.0,0.0,1,0,1,1,TA,4,Maj2,0,No aplica,Detchd,1950,Unf,1.0,256.0,TA,Fa,N,48,0,0,0,0,0,No aplica,No aplica,No aplica,0,3,2007,WD ,Normal,68104,105106.87553051932
2256,916226090,120,RL,46.0,4054,Pave,No aplica,IR1,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,TwnhsE,1Story,7,6,1987,1987,Gable,CompShg,VinylSd,VinylSd,BrkFace,352.0,Gd,TA,BrkTil,Gd,TA,Av,GLQ,949.0,Unf,0.0,552.0,1501.0,GasA,Ex,Y,SBrkr,1501,0,0,1501,1.0,0.0,2,0,2,1,Gd,5,Typ,2,TA,Attchd,1987,Fin,2.0,512.0,TA,TA,Y,240,0,0,0,0,0,No aplica,No aplica,No aplica,0,10,2007,WD ,Normal,244000,376572.26637857856
2257,916253320,120,RM,70.0,9763,Pave,No aplica,IR1,Lvl,AllPub,Inside,Gtl,GrnHill,Norm,Norm,TwnhsE,1Story,7,5,1998,1998,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,239.0,Gd,TA,PConc,Gd,TA,No,GLQ,1102.0,ALQ,72.0,328.0,1502.0,GasA,Ex,Y,SBrkr,1502,0,0,1502,1.0,0.0,1,1,1,1,Gd,5,Typ,1,TA,Attchd,1998,Fin,1.0,286.0,TA,TA,Y,0,0,0,0,0,0,No aplica,No aplica,No aplica,0,9,2007,WD ,Normal,330000,509298.5569874218
2338,527226010,60,RL,64.0,14762,Pave,No aplica,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Feedr,Norm,1Fam,2Story,5,6,1948,1950,Gable,CompShg,Plywood,Plywood,No aplica,0.0,TA,TA,Slab,No aplica,No aplica,No aplica,No aplica,0.0,No aplica,0.0,0.0,0.0,GasA,Gd,Y,SBrkr,1547,720,53,2320,0.0,0.0,2,0,2,1,TA,7,Typ,1,TA,Attchd,1979,Unf,2.0,672.0,TA,TA,P,120,144,0,0,0,0,No aplica,No aplica,No aplica,0,5,2006,WD ,Normal,169000,268309.866142748
2347,527328010,85,RL,80.0,10464,Pave,No aplica,IR1,Lvl,AllPub,FR3,Gtl,NWAmes,Norm,Norm,1Fam,SFoyer,6,6,1980,1980,Gable,CompShg,HdBoard,HdBoard,BrkFace,130.0,TA,TA,CBlock,Gd,TA,Av,GLQ,850.0,Unf,0.0,138.0,988.0,GasA,TA,Y,SBrkr,1102,0,0,1102,1.0,0.0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1980,RFn,2.0,582.0,TA,TA,Y,140,22,0,0,0,0,No aplica,No aplica,No aplica,0,6,2006,WD ,Normal,169000,268309.866142748
2506,533208050,120,FV,37.0,3316,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,8,5,2005,2005,Gable,CompShg,MetalSd,MetalSd,No aplica,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1039.0,Unf,0.0,208.0,1247.0,GasA,Ex,Y,SBrkr,1247,0,0,1247,1.0,0.0,1,1,1,1,Gd,4,Typ,1,Gd,Attchd,2005,Fin,2.0,550.0,TA,TA,Y,0,84,0,0,0,0,No aplica,No aplica,No aplica,0,4,2006,WD ,Normal,197000,312763.571775866
2521,533253090,120,RL,40.0,3874,Pave,No aplica,IR1,Lvl,AllPub,Inside,Gtl,Greens,Norm,Norm,TwnhsE,1Story,8,5,1980,1980,Gable,CompShg,Wd Sdng,Wd Sdng,No aplica,0.0,Gd,TA,CBlock,Gd,TA,Gd,GLQ,807.0,Unf,0.0,419.0,1226.0,GasA,TA,Y,SBrkr,1226,0,0,1226,1.0,0.0,1,0,1,1,Gd,4,Typ,1,Fa,Attchd,1980,Fin,2.0,484.0,TA,TA,Y,133,78,0,0,0,0,No aplica,No aplica,No aplica,0,7,2006,WD ,Normal,190000,301650.1453675865
2540,534226060,20,RL,71.0,9230,Pave,No aplica,Reg,Lvl,AllPub,Corner,Gtl,No aplicames,Feedr,Norm,1Fam,1Story,5,8,1965,1998,Hip,CompShg,MetalSd,MetalSd,BrkFace,166.0,TA,TA,CBlock,TA,TA,Mn,GLQ,661.0,Unf,0.0,203.0,864.0,GasA,Gd,Y,SBrkr,1200,0,0,1200,1.0,0.0,1,1,1,1,Gd,6,Typ,0,No aplica,Detchd,1977,Unf,2.0,884.0,TA,TA,Y,0,64,0,0,0,0,No aplica,MnPrv,No aplica,0,10,2006,WD ,Normal,146000,231794.3222298296
2600,535377100,50,RL,60.0,7008,Pave,No aplica,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,4,8,1900,1998,Gable,CompShg,MetalSd,MetalSd,No aplica,0.0,TA,Gd,BrkTil,Fa,Fa,No,Unf,0.0,Unf,0.0,448.0,448.0,GasA,Ex,Y,SBrkr,448,272,0,720,0.0,0.0,1,0,1,1,Fa,5,Typ,0,No aplica,Attchd,1900,Unf,1.0,280.0,Fa,TA,Y,0,0,70,0,0,0,No aplica,No aplica,No aplica,0,3,2006,WD ,Normal,86900,137965.25069706983
2724,905200490,80,RL,72.0,10246,Pave,No aplica,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,SLvl,4,9,1965,2001,Gable,CompShg,VinylSd,VinylSd,No aplica,0.0,TA,Gd,CBlock,TA,Gd,Av,GLQ,648.0,Unf,0.0,0.0,648.0,GasA,Ex,Y,SBrkr,960,0,0,960,1.0,1.0,0,0,0,1,TA,3,Typ,0,No aplica,Attchd,1965,Unf,1.0,364.0,TA,TA,Y,88,0,0,0,0,0,No aplica,No aplica,No aplica,0,5,2006,WD ,Normal,145000,230206.6898857897
2789,907230240,160,RH,70.0,3612,Pave,No aplica,IR1,Lvl,AllPub,Inside,Gtl,Landmrk,Norm,Norm,Twnhs,2Story,6,5,1993,1994,Gable,CompShg,VinylSd,VinylSd,No aplica,0.0,TA,TA,PConc,Gd,TA,No,GLQ,338.0,Unf,0.0,292.0,630.0,GasA,Ex,Y,SBrkr,630,690,0,1320,0.0,0.0,2,1,3,1,TA,5,Typ,0,No aplica,Detchd,1993,Unf,2.0,484.0,TA,TA,Y,0,48,0,0,0,0,No aplica,MnPrv,No aplica,0,6,2006,WD ,Normal,137000,217505.63113347028
