rep,fold,R2,RMSE,MAE,MAPE
9,2,0.9568845138498123,24623.333267072976,17183.13661256434,6.91472319303146
9,3,0.9555533829313015,26185.293837396937,16708.998141097938,6.139807781850224
9,4,0.9342861355428619,35082.47743885117,21121.57665780264,7.4799097016640586
9,5,0.9231763278381035,33854.95694264383,20429.49761698714,7.677174612014608
9,6,0.9274665087468015,28997.235032542147,17881.94270360085,7.251099841167812
9,7,0.9499532334189851,27902.286643186882,18851.237860394584,8.767176589612474
9,8,0.8956500159777607,42153.06187333103,23459.699318858547,8.670792820539273
9,9,0.930571193223562,30370.219049989715,18279.235482613298,7.4475537172539745
9,10,0.9330137004749768,31724.98789115799,20331.169267387882,7.485131868851873
10,1,0.9204623624928381,32527.819670665314,19889.489727444852,7.656190257728871
10,2,0.9600238670052162,26814.68550219036,18590.621046535038,7.453267143963517
10,3,0.9152332429441542,33411.73623167038,20894.98201914446,9.292647510926152
10,4,0.9291217493487492,31358.495563724548,21027.529276432775,8.116757051180569
10,5,0.9496905547605851,26697.623443397184,17770.768632135572,6.512783198899494
10,6,0.956179717420017,27527.64814153243,18113.15306682639,6.779954272707145
10,7,0.9333733624218016,28744.001657286815,20195.465391048918,7.401345570618909
10,8,0.9055566711871441,39048.48742575356,20357.27132036468,7.574735028130257
10,9,0.9178645015653165,38345.86281027019,21204.932181214535,7.874998510579785
10,10,0.9453762417749038,26594.381423054696,18254.027624308656,8.909349471045864
