pid,budget,price_base_reported,base_real,base_xgb,base_reg,diff_base_abs,diff_base_pct,opt_xgb,opt_reg,diff_opt_abs,diff_opt_pct,total_cost_model,roi_xgb_pct,roi_reg_pct
909276160,50000.0,438093.0,554209.0,438093.0,519406.0,81313.0,18.56067090777529,620748.0,538323.0,-82425.0,-13.278335169827368,40088.0,355.6351027738974,150.0249451207344
528344040,50000.0,436659.0,507072.0,436659.0,473182.0,36523.0,8.364192653764151,602422.0,473182.0,-129240.0,-21.453399776236594,30582.0,442.0279903211039,19.426460009155715
911104060,50000.0,107703.0,111854.0,107703.0,97226.0,-10477.0,-9.72767703777982,155562.0,97226.0,-58336.0,-37.50016070762783,8584.0,457.5372786579683,-222.05265610438025
909452114,50000.0,315104.0,298180.0,315104.0,327652.0,12548.0,3.9821773128871736,427692.0,325561.0,-102131.0,-23.879567539257224,48500.0,132.14020618556702,-78.43917525773196
528490080,50000.0,276216.0,308473.0,276216.0,290593.0,14377.0,5.204984504880239,339756.0,290593.0,-49163.0,-14.470090300097718,5415.0,1073.4072022160665,165.5032317636196
907290250,50000.0,196911.0,215559.0,196911.0,208185.0,11274.0,5.7254292548410195,235001.0,208185.0,-26816.0,-11.411015272275439,2790.0,1265.2329749103944,304.0860215053764
532378130,50000.0,169227.0,196866.0,169227.0,166899.0,-2328.0,-1.3756670034923506,216194.0,166899.0,-49295.0,-22.801280331554068,300.0,15555.666666666668,-876.0
906426210,50000.0,354848.0,348239.0,354848.0,362091.0,7243.0,2.0411556497429886,473188.0,360000.0,-113188.0,-23.9203022899989,36623.0,223.13027332550584,-85.93233760205335
528431060,50000.0,325202.0,364221.0,325202.0,369359.0,44157.0,13.578329776569639,438566.0,389216.0,-49350.0,-11.252582279520071,33335.0,240.0749962501875,92.03239838008099
911175360,50000.0,155637.0,171464.0,155637.0,125712.0,-29925.0,-19.227433065402185,206148.0,125712.0,-80436.0,-39.018569183305196,300.0,16737.0,-10075.0
906412010,50000.0,513695.0,706143.0,513695.0,506955.0,-6740.0,-1.3120626052424103,813157.0,525872.0,-287285.0,-35.32958579954425,33990.0,781.0297146219476,-64.1747572815534
907227100,50000.0,166281.0,180569.0,166281.0,184455.0,18174.0,10.929691305681347,197864.0,184455.0,-13409.0,-6.77687704686047,300.0,10427.666666666668,5958.0
914475090,50000.0,234359.0,278899.0,234359.0,263530.0,29171.0,12.447143058299446,311657.0,282447.0,-29210.0,-9.372483210709209,17660.0,337.7010192525481,172.29898074745188
924100070,50000.0,230199.0,269897.0,230199.0,238918.0,8719.0,3.787592474337421,305433.0,257835.0,-47598.0,-15.583777784325859,12438.0,504.8721659430776,122.19006271104679
528180140,50000.0,419683.0,546025.0,419683.0,449495.0,29812.0,7.103456656571745,653344.0,428487.0,-224857.0,-34.4163258559044,40530.0,476.5136935603257,-78.27781889958055
903454090,50000.0,200483.0,217609.0,200483.0,197305.0,-3178.0,-1.5851718100786603,250302.0,197305.0,-52997.0,-21.17322274692172,15154.0,228.75148475649993,-120.97136069684571
908127060,50000.0,203775.0,188286.0,203775.0,199980.0,-3795.0,-1.862348178137652,267116.0,220437.0,-46679.0,-17.475179322841015,15417.0,310.8516572614646,8.07550107024713
527276160,50000.0,261303.0,275907.0,261303.0,289567.0,28264.0,10.816561616208004,350260.0,289567.0,-60693.0,-17.32798492548393,12282.0,624.287575313467,130.12538674482983
910202070,50000.0,181664.0,219234.0,181664.0,179589.0,-2075.0,-1.142218601373965,228927.0,200047.0,-28880.0,-12.6153752069437,4600.0,927.4565217391304,299.6304347826087
916403200,50000.0,300458.0,304243.0,300458.0,364115.0,63657.0,21.18665503997231,405547.0,362024.0,-43523.0,-10.731925029651311,48133.0,118.33045935221158,27.90808800614963
924100060,50000.0,247489.0,258010.0,247489.0,244784.0,-2705.0,-1.0929778697235029,310499.0,244784.0,-65715.0,-21.164319369788632,1423.0,4327.969079409698,-290.0913562895292
903233030,50000.0,175572.0,204491.0,175572.0,185177.0,9605.0,5.470690087257649,215897.0,204094.0,-11803.0,-5.466958781270699,9200.0,338.3152173913044,210.02173913043478
908186050,50000.0,187079.0,216066.0,187079.0,197442.0,10363.0,5.539371067837651,230801.0,197442.0,-33359.0,-14.453576890914684,362.0,11977.900552486188,2762.707182320442
907255060,50000.0,410565.0,445985.0,410565.0,414860.0,4295.0,1.0461193720848099,655790.0,436154.0,-219636.0,-33.49181902743256,38676.0,534.0495397662634,-33.83752197745372
527162120,50000.0,269009.0,284855.0,269009.0,280278.0,11269.0,4.189079175789658,319900.0,280278.0,-39622.0,-12.385745545482964,7140.0,612.7591036414566,57.82913165266107
904100040,50000.0,183172.0,199207.0,183172.0,181353.0,-1819.0,-0.9930557072041579,225047.0,181353.0,-43694.0,-19.41549987335979,3150.0,1229.3650793650795,-157.74603174603175
908275220,50000.0,173805.0,182578.0,173805.0,191212.0,17407.0,10.015246972181467,223399.0,191212.0,-32187.0,-14.407853213308922,16088.0,208.26703132769765,8.198657384385879
528222040,50000.0,278619.0,279549.0,278619.0,290013.0,11394.0,4.089455492985044,373783.0,310236.0,-63547.0,-17.00104071078674,31070.0,206.28902478274864,1.76054071451561
528102010,50000.0,470414.0,500104.0,470414.0,497419.0,27005.0,5.7406879897281975,770900.0,520137.0,-250763.0,-32.528602931638346,48617.0,518.0677540777917,2.2749244091572907
535453210,50000.0,204211.0,230425.0,204211.0,219116.0,14905.0,7.298823275925391,260581.0,219116.0,-41465.0,-15.912518564285193,5445.0,935.2617079889807,173.73737373737376
527107240,50000.0,266155.0,293712.0,266155.0,264589.0,-1566.0,-0.5883789521143694,317499.0,264589.0,-52910.0,-16.664619416124147,1320.0,3789.69696969697,-218.63636363636365
905452050,50000.0,125137.0,168527.0,125137.0,137620.0,12483.0,9.975466888290434,168463.0,137620.0,-30843.0,-18.30847129636775,4.0,1083050.0,311975.0
534204030,50000.0,203097.0,200693.0,203097.0,206774.0,3677.0,1.810464950245449,245914.0,206774.0,-39140.0,-15.916133282367007,2940.0,1356.360544217687,25.068027210884352
533221100,50000.0,241879.0,273169.0,241879.0,241930.0,51.0,0.021084922626602557,291071.0,241930.0,-49141.0,-16.882822404155686,4800.0,924.8333333333333,-98.9375
535404080,50000.0,171261.0,206233.0,171261.0,182291.0,11030.0,6.440462218485236,212573.0,202749.0,-9824.0,-4.621471212242382,15858.0,160.51204439399672,98.56223987892547
902206220,50000.0,213090.0,189358.0,213090.0,203255.0,-9835.0,-4.615420714252194,314936.0,251829.0,-63107.0,-20.03803947468692,34756.0,193.0314190355622,11.45989181724019
527140090,50000.0,278687.0,267591.0,278687.0,323163.0,44476.0,15.959122599905987,362608.0,323163.0,-39445.0,-10.87813837532542,9060.0,826.2803532008829,390.90507726269317
923228370,50000.0,132554.0,125505.0,132554.0,132705.0,151.0,0.11391583807353985,166567.0,132705.0,-33862.0,-20.329356955459367,9409.0,261.4943139547242,-98.39515357636306
923228180,50000.0,119570.0,138997.0,119570.0,109561.0,-10009.0,-8.370828803211507,158284.0,109561.0,-48723.0,-30.782012079553205,5629.0,587.7598152424941,-277.8113341623734
902329070,50000.0,165709.0,181790.0,165709.0,171304.0,5595.0,3.376400798991002,209938.0,171304.0,-38634.0,-18.402575998628166,10264.0,330.91387373343724,-45.48908807482463
528253020,50000.0,287520.0,323042.0,287520.0,349805.0,62285.0,21.662840845854202,425787.0,356912.0,-68875.0,-16.17592833975673,49660.0,178.42730567861457,39.734192509061614
528218150,50000.0,261770.0,292844.0,261770.0,260617.0,-1153.0,-0.44046300187187226,349918.0,279534.0,-70384.0,-20.11442680856658,29060.0,203.331039229181,-38.87130075705437
528435030,50000.0,365108.0,428163.0,365108.0,394465.0,29357.0,8.040634551968184,494714.0,413383.0,-81331.0,-16.440003719320657,38424.0,237.30480949406623,25.63762231938372
910207110,50000.0,139695.0,169083.0,139695.0,121930.0,-17765.0,-12.716990586635168,188433.0,121930.0,-66503.0,-35.292650438086746,230.0,21090.434782608696,-7823.913043478261
906475100,50000.0,264299.0,289890.0,264299.0,303432.0,39133.0,14.806336762530318,381156.0,310539.0,-70617.0,-18.527059786544093,45505.0,156.80035160971323,1.6152071200966929
528180130,50000.0,349717.0,370610.0,349717.0,338853.0,-10864.0,-3.1065118367136857,497773.0,338016.0,-159757.0,-32.094348227003074,48990.0,202.21677893447642,-123.88446621759543
535452090,50000.0,184619.0,190898.0,184619.0,191863.0,7244.0,3.9237564931020104,239308.0,212321.0,-26987.0,-11.277098968693066,20215.0,170.53673015087807,37.03685382141973
534151180,50000.0,339830.0,393549.0,339830.0,360951.0,21121.0,6.215166406732778,452556.0,360951.0,-91605.0,-20.241693845623526,26935.0,318.511230740672,-21.585297939483944
903401050,50000.0,200415.0,215559.0,200415.0,205755.0,5340.0,2.664471222213906,259293.0,205755.0,-53538.0,-20.647684279945853,7264.0,710.545154185022,-26.48678414096916
903430080,50000.0,181199.0,179083.0,181199.0,197598.0,16399.0,9.050270696858151,209269.0,197598.0,-11671.0,-5.577032431941664,9930.0,182.67875125881167,65.1460221550856
903231130,50000.0,157098.0,156596.0,157098.0,156964.0,-134.0,-0.08529707571070287,197694.0,156964.0,-40730.0,-20.602547371189818,7590.0,434.8616600790514,-101.76548089591569
528228275,50000.0,279871.0,299716.0,279871.0,315228.0,35357.0,12.633320351161787,403089.0,313137.0,-89952.0,-22.315667259587833,49502.0,148.9151953456426,-32.79867480101814
534275100,50000.0,174160.0,175984.0,174160.0,176655.0,2495.0,1.4325907211759301,206063.0,176655.0,-29408.0,-14.271363612099211,300.0,10534.333333333334,731.6666666666666
533210020,50000.0,216260.0,259104.0,216260.0,227758.0,11498.0,5.316748358457413,256752.0,206749.0,-50003.0,-19.47521343553312,16100.0,151.5031055900621,-159.07453416149067
528290180,50000.0,258846.0,283364.0,258846.0,267625.0,8779.0,3.3915919117931126,306429.0,267625.0,-38804.0,-12.663292312411684,1665.0,2757.837837837838,427.26726726726724
528228270,50000.0,268013.0,266224.0,268013.0,286636.0,18623.0,6.9485435407983935,362485.0,266569.0,-95916.0,-26.460681131633034,47413.0,99.25336932908696,-103.0455782169447
909250210,50000.0,184829.0,161938.0,184829.0,167919.0,-16910.0,-9.148997181178279,246420.0,186837.0,-59583.0,-24.17944971999026,24324.0,153.21082058871895,-91.74477881927314
535379060,50000.0,141940.0,99545.0,141940.0,134800.0,-7140.0,-5.030294490629843,209376.0,174175.0,-35201.0,-16.81233761271588,23640.0,185.2622673434856,36.357868020304565
531363030,50000.0,249016.0,226691.0,249016.0,267360.0,18344.0,7.366594917595656,312986.0,268548.0,-44438.0,-14.198079147310102,17802.0,259.34164700595437,9.71800921244804
905402070,50000.0,165655.0,181950.0,165655.0,161347.0,-4308.0,-2.60058555431469,216337.0,161347.0,-54990.0,-25.418675492403057,1646.0,2979.10085054678,-361.7253948967193
907275010,50000.0,335498.0,328106.0,335498.0,330241.0,-5257.0,-1.5669243929919106,470479.0,330241.0,-140238.0,-29.807494064559737,25240.0,434.79001584786056,-120.82805071315373
902204060,50000.0,171260.0,215124.0,171260.0,189244.0,17984.0,10.500992642765386,209215.0,189244.0,-19971.0,-9.545682670936596,300.0,12551.666666666666,5894.666666666667
908275280,50000.0,200332.0,201436.0,200332.0,215703.0,15371.0,7.672763213066309,269855.0,234620.0,-35235.0,-13.057012099090251,21440.0,224.267723880597,59.92537313432836
903425420,50000.0,173417.0,193260.0,173417.0,179286.0,5869.0,3.384327949393658,206301.0,179286.0,-27015.0,-13.094943795715968,5633.0,483.77418782176466,4.189597017575005
911102170,50000.0,129851.0,59465.0,129851.0,115188.0,-14663.0,-11.292173337132558,181945.0,115188.0,-66757.0,-36.69075819615818,9739.0,434.90091385152476,-250.559605709005
531452140,50000.0,226555.0,228790.0,226555.0,220544.0,-6011.0,-2.6532188651762265,262382.0,220544.0,-41838.0,-15.945453575321478,300.0,11842.333333333334,-2103.6666666666665
902306130,50000.0,236527.0,239345.0,236527.0,248973.0,12446.0,5.261978547903622,299700.0,267890.0,-31810.0,-10.613947280613948,17424.0,262.5631313131313,79.99885215794306
528228445,50000.0,273577.0,283944.0,273577.0,287821.0,14244.0,5.206578038358487,365784.0,287821.0,-77963.0,-21.31394484176454,20500.0,349.79024390243904,-30.517073170731706
532351150,50000.0,199022.0,189722.0,199022.0,185861.0,-13161.0,-6.6128367718141705,231346.0,204778.0,-26568.0,-11.484097412533607,9200.0,251.3478260869565,-37.434782608695656
527214030,50000.0,491004.0,575320.0,491004.0,497791.0,6787.0,1.3822697982093832,770036.0,497098.0,-272938.0,-35.444836345313725,49061.0,468.7450316952366,-87.57872852163632
528228430,50000.0,269764.0,357217.0,269764.0,289009.0,19245.0,7.134013433964502,366488.0,289943.0,-76545.0,-20.886086311147977,6426.0,1405.1976346093993,214.021164021164
905100080,50000.0,227734.0,244540.0,227734.0,250835.0,23101.0,10.143852037903871,291045.0,250835.0,-40210.0,-13.815732962256696,724.0,8644.61325966851,3090.745856353591
910203020,50000.0,152065.0,179137.0,152065.0,151328.0,-737.0,-0.48466116463354486,198964.0,151328.0,-47636.0,-23.942019661848374,3180.0,1374.8113207547171,-123.17610062893081
531452210,50000.0,219270.0,238145.0,219270.0,212390.0,-6880.0,-3.137684133716423,256386.0,212390.0,-43996.0,-17.160063341992153,5430.0,583.53591160221,-226.70349907918967
532376250,50000.0,188205.0,211949.0,188205.0,192125.0,3920.0,2.0828352062910125,228173.0,192125.0,-36048.0,-15.798538827994548,11160.0,258.13620071684585,-64.87455197132617
906201050,50000.0,233130.0,233402.0,233130.0,225109.0,-8021.0,-3.440569639257067,281811.0,225109.0,-56702.0,-20.120577266323885,2000.0,2334.0499999999997,-501.05000000000007
534403080,50000.0,236878.0,267442.0,236878.0,279235.0,42357.0,17.88135664772583,329639.0,307350.0,-22289.0,-6.761639247783181,35240.0,163.22644721906926,99.97729852440409
906380150,50000.0,246743.0,291489.0,246743.0,246730.0,-13.0,-0.005268639839833349,344331.0,244639.0,-99692.0,-28.95237431424995,42725.0,128.40959625511996,-104.92451726155647
532376110,50000.0,192999.0,192389.0,192999.0,196575.0,3576.0,1.85285934124011,234047.0,196575.0,-37472.0,-16.01045943763432,4320.0,850.1851851851851,-17.22222222222222
531375060,50000.0,213072.0,209567.0,213072.0,225533.0,12461.0,5.84825786588571,243818.0,225533.0,-18285.0,-7.499446308311937,300.0,10148.666666666666,4053.666666666667
533212110,50000.0,218387.0,234017.0,218387.0,225567.0,7180.0,3.2877414864437906,265500.0,204559.0,-60941.0,-22.953295668549906,28635.0,64.52942203596996,-148.29055351842152
906223080,50000.0,323112.0,357784.0,323112.0,335004.0,11892.0,3.680457550323108,444401.0,332913.0,-111488.0,-25.087252278910267,34375.0,252.8407272727273,-71.488
527110080,50000.0,243155.0,273169.0,243155.0,264417.0,21262.0,8.744216651929838,320149.0,283334.0,-36815.0,-11.499333123014596,18380.0,318.90097932535366,118.60174102285093
534401190,50000.0,204034.0,208126.0,204034.0,226389.0,22355.0,10.956507248791867,250877.0,226389.0,-24488.0,-9.76095855738071,300.0,15514.333333333334,7351.666666666667
535451170,50000.0,143727.0,134225.0,143727.0,132386.0,-11341.0,-7.89065380895726,188154.0,132386.0,-55768.0,-29.63955058090713,300.0,14709.0,-3880.3333333333335
907135260,50000.0,201344.0,215559.0,201344.0,213075.0,11731.0,5.826346948506039,246812.0,213075.0,-33737.0,-13.66910847122506,300.0,15056.0,3810.333333333333
528488100,50000.0,259021.0,275907.0,259021.0,293557.0,34536.0,13.333281857455573,357706.0,291466.0,-66240.0,-18.51800081631284,37465.0,163.4058454557587,-13.399172561056988
528458150,50000.0,422579.0,478452.0,422579.0,420419.0,-2160.0,-0.5111470281296515,572944.0,420522.0,-152422.0,-26.603298053561954,44331.0,239.18702488100877,-104.64009383952539
528106010,50000.0,471283.0,543991.0,471283.0,536643.0,65360.0,13.868524856614814,681828.0,536643.0,-145185.0,-21.29349337369542,47606.0,342.2656807965383,37.2936184514557
