PID,Lot Frontage,Lot Area,Year Built,Year Remod/Add,Total Bsmt SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Fireplaces,Garage Cars,Wood Deck SF,SalePrice,SalePrice_Present,TotalPorch,Overall Qual,Overall Cond,Exter Cond,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Heating QC,Kitchen Qual,Fireplace Qu,Garage Finish,Garage Qual,MS SubClass,MS Zoning,Lot Shape,Lot Config,Neighborhood,Condition 1,Roof Style,Exterior 1st,Foundation,Central Air,Garage Type,Sale Type,Sale Condition,Alley_simplificado,Land_Contour_simplificado,Land_Slope_simplificado,Roof_Matl_simplificado,Electrical_simplificado,FunctioNo aplical_simplificado,Paved_Drive_simplificado,PoolQC_simplificado,Fence_simplificado,Misc_Feature_simplificado
527258010,88.0,11394,2010,2010,1856.0,0,1856,1.0,0.0,1,1,1,1,1,3.0,113,394432,577192.9246922388,0,9,2,3,5,3,3,6,1,5,5,5,3,3,20,RL,Reg,Corner,StoneBr,Norm,Hip,VinylSd,PConc,Y,Attchd,New,Partial,0,1,1,1,1,1,1,0,0,0
527276150,140.0,19138,1951,1951,864.0,0,864,0.0,0.0,1,0,2,1,0,2.0,0,141000,206332.65653295288,0,4,5,3,3,3,1,2,1,5,3,0,1,3,20,RL,Reg,Corner,Gilbert,Norm,Gable,VinylSd,CBlock,Y,Detchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
527302110,85.0,13175,1978,1988,1542.0,0,2073,1.0,0.0,2,0,3,1,2,2.0,349,210000,307303.9565384405,0,6,6,3,4,3,1,5,3,3,3,3,1,3,20,RL,Reg,Inside,NWAmes,Norm,Gable,Plywood,CBlock,Y,Attchd,WD ,Normal,0,1,1,1,1,0,1,0,1,0
527358140,105.0,11751,1977,1977,1844.0,0,1844,0.0,0.0,2,0,3,1,1,2.0,0,190000,278036.913058589,122,6,6,3,4,3,1,4,1,5,3,3,2,3,20,RL,IR1,Inside,NWAmes,Norm,Hip,Plywood,CBlock,Y,Attchd,COD,Normal,0,1,1,1,1,1,1,0,1,0
527358200,85.0,10625,1974,1974,1053.0,0,1173,1.0,0.0,2,0,3,1,2,2.0,0,170000,248769.86957873756,120,7,6,3,4,3,4,6,2,3,4,3,2,3,85,RL,Reg,Inside,NWAmes,Norm,Gable,Plywood,CBlock,Y,Attchd,WD ,Family,0,1,1,1,1,1,1,0,1,0
527368020,72.5,7500,2000,2000,814.0,0,1674,1.0,0.0,2,1,3,1,0,2.0,0,216000,316084.0695823959,96,7,5,3,4,3,1,6,1,5,4,0,2,3,60,FV,Reg,Inside,Somerst,Norm,Gable,VinylSd,PConc,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
527402200,73.0,11241,1970,1970,1004.0,0,1004,1.0,0.0,1,0,2,1,1,2.0,0,149000,218039.47392489348,0,6,7,3,3,3,1,5,1,5,3,3,3,3,20,RL,IR1,CulDSac,No aplicames,Norm,Gable,Wd Sdng,CBlock,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,1
527402250,73.0,12537,1971,2008,1078.0,0,1078,1.0,0.0,1,1,3,1,1,2.0,0,149900,219356.4908814868,0,5,6,3,3,3,1,6,1,5,3,2,3,3,20,RL,IR1,CulDSac,No aplicames,Norm,Gable,VinylSd,CBlock,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
527403020,65.0,8450,1968,1968,1056.0,0,1056,1.0,0.0,1,0,3,1,1,1.0,0,142000,207796.00870694543,269,5,6,3,3,3,1,4,1,5,3,2,1,3,20,RL,Reg,Inside,No aplicames,Norm,Gable,VinylSd,CBlock,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
527404120,70.0,8400,1970,1970,882.0,0,882,1.0,0.0,1,0,2,1,0,2.0,240,126000,184382.37392306427,0,4,5,3,3,3,1,5,3,3,3,0,3,3,20,RL,Reg,Corner,No aplicames,Norm,Gable,Plywood,CBlock,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,1,0
527425090,70.0,10500,1971,1971,864.0,0,864,0.0,0.0,1,0,3,1,1,0.0,0,115000,168285.50000914597,0,4,5,3,3,3,1,5,1,3,3,1,0,0,20,RL,Reg,FR2,No aplicames,Norm,Gable,HdBoard,CBlock,Y,No aplica,ConLI,Normal,0,1,1,1,1,1,1,0,0,0
527427230,26.0,5858,1999,1999,1405.0,0,1337,1.0,0.0,2,0,2,1,1,2.0,203,184000,269256.8000146336,68,7,5,3,4,3,1,6,4,5,4,2,3,3,120,RH,IR1,FR2,No aplicames,Norm,Gable,MetalSd,PConc,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
527451180,21.0,1680,1971,1971,483.0,0,987,0.0,0.0,1,1,2,1,0,1.0,275,96000,140481.80870328707,0,6,5,3,3,3,1,3,1,3,3,0,1,3,160,RM,Reg,Inside,BrDale,Norm,Gable,HdBoard,CBlock,Y,Detchd,COD,Normal,0,1,1,1,1,1,1,0,0,0
527451330,21.0,1680,1971,1971,525.0,0,1092,0.0,0.0,1,1,3,1,0,1.0,0,105500,154383.65435621652,0,5,5,3,3,3,1,3,1,3,3,0,1,3,160,RM,Reg,Inside,BrDale,Norm,Gable,HdBoard,CBlock,Y,Detchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
527451410,21.0,1680,1971,1971,525.0,0,1092,0.0,0.0,1,1,3,1,0,1.0,0,88000,128774.99131134649,0,6,5,3,3,3,1,1,1,3,3,0,1,3,160,RM,Reg,Inside,BrDale,Norm,Gable,HdBoard,CBlock,Y,Detchd,WD ,Family,0,1,1,1,1,1,1,0,0,0
527452190,53.0,4043,1977,1977,1069.0,0,1069,0.0,0.0,2,0,2,1,1,2.0,0,127500,186577.40218405315,220,6,5,3,4,3,1,5,1,3,3,2,2,3,120,RL,Reg,Inside,NPkVill,Norm,Gable,Plywood,CBlock,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
527453130,24.0,2280,1975,1975,855.0,0,1456,0.0,0.0,2,1,3,1,1,2.0,173,149900,219356.4908814868,0,6,6,3,3,3,1,5,1,3,4,3,1,3,160,RL,Reg,FR2,NPkVill,Norm,Gable,Plywood,CBlock,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
527453150,24.0,2280,1975,1975,836.0,0,836,0.0,0.0,1,0,2,1,0,1.0,0,120000,175602.26087910883,30,7,6,3,4,3,1,1,1,5,3,0,1,3,120,RL,Reg,FR2,NPkVill,Norm,Gable,Plywood,CBlock,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
527454200,24.0,2280,1978,1978,855.0,0,1456,0.0,0.0,2,1,3,1,1,2.0,26,146000,213649.41740291571,0,6,5,3,4,3,1,5,1,2,3,3,1,3,160,RL,Reg,Inside,NPkVill,Norm,Gable,Plywood,CBlock,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
528108120,102.0,12858,2009,2010,1590.0,0,2334,0.0,0.0,2,1,3,1,1,3.0,144,376162,550457.4804733945,133,9,5,3,5,3,1,1,1,5,5,4,3,3,60,RL,IR1,Inside,NridgHt,Norm,Gable,VinylSd,PConc,Y,Attchd,New,Partial,0,1,1,1,1,1,1,0,0,0
528112020,98.0,11478,2007,2008,1704.0,0,1704,1.0,0.0,2,0,3,1,1,3.0,0,306000,447785.7652417275,50,8,5,3,5,3,1,6,1,5,4,4,2,3,20,RL,Reg,Inside,NridgHt,Norm,Gable,VinylSd,PConc,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
528120060,83.0,10159,2009,2010,1930.0,0,1940,1.0,0.0,2,1,3,1,1,3.0,168,395192,578305.0723444732,95,9,5,3,5,3,3,6,1,5,5,4,3,3,20,RL,IR1,Inside,NridgHt,Norm,Hip,VinylSd,PConc,Y,Attchd,New,Partial,0,1,1,1,1,1,1,0,0,0
528120090,94.0,12883,2009,2010,1544.0,0,1544,0.0,0.0,2,0,3,1,0,3.0,0,290941,425749.14485357335,35,8,5,3,4,3,1,1,1,5,4,0,2,3,20,RL,IR1,Corner,NridgHt,Norm,Gable,VinylSd,PConc,Y,Attchd,New,Partial,0,1,1,1,1,1,1,0,0,0
528120100,95.0,12182,2005,2005,1541.0,0,1541,0.0,0.0,2,0,3,1,1,2.0,0,220000,321937.4782783662,70,7,5,3,4,3,2,4,1,5,4,4,2,3,20,RL,Reg,Corner,NridgHt,Norm,Gable,VinylSd,PConc,Y,Attchd,New,Partial,0,1,1,1,1,1,1,0,0,0
528120120,90.0,11520,2005,2005,1698.0,0,1698,0.0,0.0,2,0,3,1,1,3.0,192,275000,402421.84784795775,74,9,5,3,5,3,1,6,1,5,5,4,3,3,20,RL,Reg,Inside,NridgHt,PosN,Hip,VinylSd,PConc,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
528138020,79.0,14122,2005,2006,1822.0,0,1822,0.0,0.0,2,0,3,1,1,3.0,0,259000,379008.21306407655,119,8,5,3,5,3,1,6,1,5,5,4,2,3,20,RL,IR1,Inside,NridgHt,Norm,Hip,CemntBd,PConc,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
528138060,70.0,10171,2004,2004,1517.0,0,1535,0.0,0.0,2,0,3,1,0,2.0,0,214000,313157.36523441074,0,7,5,3,4,3,1,6,1,5,4,0,2,3,20,RL,IR1,Inside,NridgHt,Norm,Gable,VinylSd,PConc,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
528150070,100.0,12919,2009,2010,2330.0,0,2364,1.0,0.0,2,1,2,1,2,3.0,0,611657,895069.6006877756,67,9,5,3,5,3,4,6,1,5,5,4,3,3,20,RL,IR1,Inside,NridgHt,Norm,Hip,VinylSd,PConc,Y,Attchd,New,Partial,0,1,1,1,1,1,1,0,0,0
528175010,44.0,6371,2009,2010,1358.0,0,1358,1.0,0.0,2,0,2,1,1,2.0,192,224000,327790.8869743365,35,7,5,3,4,3,2,6,1,5,4,4,2,3,120,RL,IR1,Inside,NridgHt,Norm,Gable,VinylSd,PConc,Y,Attchd,New,Partial,0,1,1,1,1,1,1,0,0,0
528176010,110.0,14300,2003,2004,2846.0,0,2696,1.0,0.0,2,1,3,1,2,3.0,220,500000,731676.0869962869,150,9,5,3,5,3,4,6,1,5,5,4,3,3,20,RL,Reg,Inside,NridgHt,Norm,Hip,VinylSd,PConc,Y,Attchd,WD ,Normal,0,0,0,1,1,1,1,0,0,0
528176070,105.0,13650,2002,2002,1671.0,0,2250,1.0,0.0,2,1,3,1,1,3.0,238,320000,468272.6956776236,130,8,5,3,4,3,4,6,1,5,4,5,3,3,60,RL,Reg,Corner,NridgHt,Norm,Gable,VinylSd,PConc,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
528180070,61.0,7658,2005,2005,1752.0,0,1752,1.0,0.0,2,0,2,1,1,2.0,196,319900,468126.3604602243,82,9,5,3,5,3,1,6,1,5,5,4,2,3,120,RL,Reg,Inside,NridgHt,Norm,Hip,MetalSd,PConc,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
528181050,41.0,7132,2006,2006,1370.0,0,1370,0.0,0.0,2,0,2,1,1,2.0,120,205000,299987.1956684776,49,8,5,3,4,3,2,6,1,5,4,4,2,3,120,RL,IR1,Inside,NridgHt,Norm,Gable,VinylSd,PConc,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
528188120,36.0,2628,2003,2003,764.0,0,1626,0.0,0.0,2,1,2,1,0,2.0,0,175500,256818.30653569667,27,7,5,3,4,3,1,1,1,5,4,0,2,3,160,RL,Reg,Inside,NridgHt,Norm,Gable,VinylSd,PConc,Y,BuiltIn,WD ,Normal,0,1,1,1,1,1,1,0,0,0
528218150,100.0,18494,2005,2005,1324.0,0,1324,0.0,0.0,2,0,3,1,0,2.0,36,199500,291938.7587115184,23,6,5,3,4,3,1,1,1,5,4,0,3,3,20,RL,IR1,Corner,Gilbert,Norm,Gable,VinylSd,PConc,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
528228285,43.0,3203,2006,2006,1145.0,0,1145,0.0,0.0,2,0,2,1,0,2.0,100,160000,234136.34783881175,116,7,5,3,4,3,3,6,1,5,4,0,3,3,120,RL,Reg,Inside,Blmngtn,Norm,Gable,VinylSd,PConc,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
528228440,43.0,3182,2004,2005,1256.0,0,1269,0.0,0.0,2,0,2,1,1,2.0,146,192000,280963.61740657414,164,8,5,3,4,3,1,6,1,5,4,3,3,3,120,RL,Reg,Inside,Blmngtn,Norm,Gable,VinylSd,PConc,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
528231020,67.0,13300,2004,2004,384.0,0,1374,1.0,0.0,2,1,3,1,1,2.0,100,184500,269988.47610162984,0,7,5,3,4,3,1,6,1,5,4,4,3,3,80,RL,IR1,Inside,Gilbert,Norm,Gable,VinylSd,PConc,Y,BuiltIn,WD ,Normal,0,1,1,1,1,1,1,0,0,0
528240070,64.0,7851,2002,2002,860.0,0,1960,1.0,0.0,2,1,4,1,2,2.0,288,216500,316815.74566939217,48,6,5,3,4,3,1,6,1,5,4,3,3,3,60,RL,Reg,Inside,Gilbert,Norm,Gable,VinylSd,PConc,Y,BuiltIn,WD ,Normal,0,1,1,1,1,1,1,0,0,0
528240130,63.0,8577,2004,2004,847.0,0,1733,0.0,0.0,2,1,3,1,1,2.0,144,185088,270848.9271799375,48,7,5,3,4,3,1,1,1,5,4,4,3,3,60,RL,IR1,Inside,Gilbert,Norm,Gable,VinylSd,PConc,Y,BuiltIn,WD ,Normal,0,1,1,1,1,1,1,0,0,0
528250100,64.0,7750,2000,2000,384.0,0,1430,0.0,0.0,2,1,3,1,1,2.0,180,180000,263403.39131866326,0,7,5,3,4,3,1,6,1,5,3,3,3,3,80,RL,IR1,Inside,Gilbert,Norm,Gable,VinylSd,PConc,Y,BuiltIn,WD ,Normal,0,1,1,1,1,1,1,0,0,0
528292020,64.0,9505,2001,2001,884.0,0,2035,0.0,0.0,2,1,3,1,1,2.0,144,222500,325595.85871334764,48,7,5,3,4,3,1,1,1,5,4,4,3,3,60,RL,IR1,CulDSac,Gilbert,Norm,Gable,VinylSd,PConc,Y,BuiltIn,WD ,Normal,0,1,1,1,1,1,1,0,0,0
528328100,108.0,14774,1999,1999,1393.0,0,2599,0.0,0.0,2,1,4,1,1,3.0,668,333168,487542.1171047578,30,9,5,3,4,3,1,1,1,5,4,3,3,3,60,RL,IR1,Corner,NoRidge,Norm,Gable,VinylSd,PConc,Y,BuiltIn,WD ,Normal,0,1,1,1,1,1,1,0,0,0
528344070,60.0,17433,1998,1998,1629.0,0,2475,0.0,0.0,2,1,4,1,1,3.0,23,355000,519490.0217673637,428,8,5,3,5,3,1,1,1,5,4,3,3,3,60,RL,IR2,CulDSac,NoRidge,Norm,Hip,VinylSd,PConc,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
528358010,59.0,10593,1996,1996,1720.0,0,1720,1.0,0.0,2,0,3,1,1,2.0,240,260400,381056.9061076662,210,7,5,3,4,3,1,6,1,5,4,3,3,3,20,RL,IR1,Inside,NoRidge,Norm,Hip,VinylSd,PConc,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
528363130,98.0,12256,1994,1995,1463.0,0,2622,1.0,0.0,2,1,3,1,2,2.0,186,325000,475589.4565475864,32,8,5,3,5,3,3,6,1,5,4,3,2,3,60,RL,IR1,Corner,NoRidge,Norm,Gable,HdBoard,PConc,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
528382020,92.0,11764,1999,2007,1152.0,0,2270,0.0,0.0,2,1,4,1,1,3.0,132,290000,424372.1304578464,57,8,7,3,4,3,1,6,1,5,4,4,3,3,60,RL,IR1,CulDSac,NoRidge,Norm,Gable,VinylSd,PConc,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
528382030,58.0,16770,1998,1998,1195.0,0,1839,0.0,0.0,2,1,4,1,0,2.0,0,221000,323400.8304523588,81,7,5,3,4,3,1,1,1,4,3,0,3,3,60,RL,IR2,CulDSac,NoRidge,Norm,Gable,VinylSd,PConc,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
528386040,56.0,14720,1995,1996,2033.0,0,3238,1.0,0.0,2,1,4,1,1,3.0,283,410000,599974.3913369552,86,8,5,3,4,3,3,6,1,5,4,5,3,3,50,RL,IR1,CulDSac,NoRidge,Norm,Hip,VinylSd,PConc,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
528456160,92.0,9215,2009,2010,1218.0,0,1218,0.0,0.0,2,0,2,1,0,2.0,0,204500,299255.5195814813,136,7,5,3,4,3,1,1,1,5,4,0,2,3,20,FV,Reg,Inside,Somerst,Norm,Hip,VinylSd,PConc,Y,Attchd,New,Partial,0,1,1,1,1,1,1,0,0,0
528458070,72.0,8640,2009,2009,756.0,0,1547,0.0,0.0,2,1,3,1,0,2.0,169,215200,314913.38784320187,45,7,5,3,4,3,2,6,1,5,4,0,1,3,60,FV,Reg,Inside,Somerst,Norm,Gable,VinylSd,PConc,Y,Attchd,Con,Normal,0,1,1,1,1,1,1,0,0,0
528458110,75.0,9000,2008,2008,1566.0,0,1566,1.0,0.0,2,0,3,1,0,2.0,144,262500,384129.9456730506,168,8,5,3,4,3,3,6,1,5,4,0,2,3,20,FV,Reg,Inside,Somerst,Norm,Gable,VinylSd,PConc,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
528477080,100.0,12552,2004,2005,991.0,0,1947,0.0,0.0,2,1,3,1,1,2.0,0,254900,373008.469150707,136,7,5,3,4,3,1,6,1,5,4,4,2,3,60,FV,Reg,Corner,Somerst,Norm,Gable,VinylSd,PConc,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,1,0
528480090,84.0,10440,2005,2005,1468.0,0,1468,1.0,0.0,2,0,2,1,1,2.0,0,271500,397300.11523898377,318,6,5,3,5,3,1,6,1,5,4,4,3,3,20,FV,Reg,Corner,Somerst,Norm,Gable,VinylSd,PConc,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
531367050,76.0,10142,2004,2004,956.0,0,2084,1.0,0.0,2,1,4,1,0,2.0,0,233000,340961.05654026964,45,7,5,3,4,3,1,6,1,5,4,0,2,3,60,RL,IR1,Inside,SawyerW,Norm,Gable,VinylSd,PConc,Y,BuiltIn,WD ,Normal,0,1,1,1,1,1,1,0,0,0
531369060,70.0,11920,2004,2004,831.0,0,1659,0.0,0.0,2,1,3,1,0,2.0,144,181000,264866.7434926558,68,7,5,3,4,3,3,1,1,5,4,0,2,3,60,RL,Reg,Inside,SawyerW,Norm,Gable,VinylSd,PConc,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
531380080,67.0,8880,1994,2002,948.0,0,2110,1.0,0.0,2,1,3,1,2,2.0,0,205000,299987.1956684776,130,7,5,3,4,3,1,6,1,5,4,2,2,3,60,RL,IR1,Inside,SawyerW,Norm,Gable,VinylSd,PConc,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
531451110,50.0,8012,1980,1980,923.0,0,923,0.0,0.0,2,0,2,1,1,1.0,80,143000,209259.36088093804,0,6,5,3,4,3,1,4,4,3,3,3,2,3,120,RL,Reg,Inside,SawyerW,Norm,Gable,Plywood,CBlock,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
531451280,70.0,11218,1992,1992,1055.0,0,1845,0.0,0.0,2,1,3,1,1,2.0,635,189000,276573.56088459643,104,6,5,3,4,3,1,1,1,5,4,3,2,3,60,RL,Reg,Inside,SawyerW,Norm,Gable,Wd Sdng,PConc,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,1,1
531452020,55.0,7892,1979,1979,918.0,0,918,0.0,0.0,2,0,2,1,1,1.0,28,99500,145603.54131226108,0,6,5,3,4,3,1,1,1,3,3,3,1,3,120,RL,Reg,Inside,SawyerW,Norm,Gable,Plywood,CBlock,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
531452050,50.0,7175,1984,1984,744.0,0,752,1.0,0.0,1,0,2,1,0,1.0,353,125000,182919.0217490717,90,6,5,3,4,3,1,5,2,3,3,0,1,3,120,RL,Reg,Inside,SawyerW,Norm,Gable,Plywood,CBlock,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,1,0
531452180,67.0,9453,1993,2003,996.0,0,1744,0.0,0.0,2,1,3,1,0,2.0,370,194500,284621.9978415556,308,7,7,3,4,3,1,4,1,5,4,0,2,3,60,RL,IR1,CulDSac,SawyerW,RRNe,Gable,HdBoard,PConc,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,0,0
531453010,81.0,9672,1984,1985,1040.0,0,1097,0.0,0.0,2,0,3,1,0,2.0,0,152000,222429.5304468712,0,6,5,3,4,3,1,6,1,3,3,0,1,3,20,RL,Reg,Corner,SawyerW,Norm,Hip,HdBoard,PConc,Y,Attchd,WD ,Normal,0,1,1,1,1,1,1,0,1,0
