pid,presupuesto,error
534451050,200000,'CostTables' object has no attribute 'garage_finish_costs'
533212120,15000,'CostTables' object has no attribute 'garage_finish_costs'
533212120,40000,'CostTables' object has no attribute 'garage_finish_costs'
533212120,75000,'CostTables' object has no attribute 'garage_finish_costs'
533212120,200000,'CostTables' object has no attribute 'garage_finish_costs'
535305180,15000,'CostTables' object has no attribute 'garage_finish_costs'
535305180,40000,'CostTables' object has no attribute 'garage_finish_costs'
535305180,75000,'CostTables' object has no attribute 'garage_finish_costs'
535305180,200000,'CostTables' object has no attribute 'garage_finish_costs'
535177110,15000,'CostTables' object has no attribute 'garage_finish_costs'
535177110,40000,'CostTables' object has no attribute 'garage_finish_costs'
535177110,75000,'CostTables' object has no attribute 'garage_finish_costs'
535177110,200000,'CostTables' object has no attribute 'garage_finish_costs'
907187060,15000,'CostTables' object has no attribute 'garage_finish_costs'
907187060,40000,'CostTables' object has no attribute 'garage_finish_costs'
907187060,75000,'CostTables' object has no attribute 'garage_finish_costs'
907187060,200000,'CostTables' object has no attribute 'garage_finish_costs'
905201090,15000,'CostTables' object has no attribute 'garage_finish_costs'
905201090,40000,'CostTables' object has no attribute 'garage_finish_costs'
905201090,75000,'CostTables' object has no attribute 'garage_finish_costs'
905201090,200000,'CostTables' object has no attribute 'garage_finish_costs'
906394020,15000,'CostTables' object has no attribute 'garage_finish_costs'
906394020,40000,'CostTables' object has no attribute 'garage_finish_costs'
906394020,75000,'CostTables' object has no attribute 'garage_finish_costs'
906394020,200000,'CostTables' object has no attribute 'garage_finish_costs'
531367050,15000,'CostTables' object has no attribute 'garage_finish_costs'
531367050,40000,'CostTables' object has no attribute 'garage_finish_costs'
531367050,75000,'CostTables' object has no attribute 'garage_finish_costs'
531367050,200000,'CostTables' object has no attribute 'garage_finish_costs'
527226020,15000,'CostTables' object has no attribute 'garage_finish_costs'
527226020,40000,'CostTables' object has no attribute 'garage_finish_costs'
527226020,75000,'CostTables' object has no attribute 'garage_finish_costs'
527226020,200000,'CostTables' object has no attribute 'garage_finish_costs'
906226060,15000,'CostTables' object has no attribute 'garage_finish_costs'
906226060,40000,'CostTables' object has no attribute 'garage_finish_costs'
906226060,75000,'CostTables' object has no attribute 'garage_finish_costs'
906226060,200000,'CostTables' object has no attribute 'garage_finish_costs'
907200170,15000,'CostTables' object has no attribute 'garage_finish_costs'
907200170,40000,'CostTables' object has no attribute 'garage_finish_costs'
907200170,75000,'CostTables' object has no attribute 'garage_finish_costs'
907200170,200000,'CostTables' object has no attribute 'garage_finish_costs'
535355020,15000,'CostTables' object has no attribute 'garage_finish_costs'
535355020,40000,'CostTables' object has no attribute 'garage_finish_costs'
535355020,75000,'CostTables' object has no attribute 'garage_finish_costs'
535355020,200000,'CostTables' object has no attribute 'garage_finish_costs'
534250300,15000,'CostTables' object has no attribute 'garage_finish_costs'
534250300,40000,'CostTables' object has no attribute 'garage_finish_costs'
534250300,75000,'CostTables' object has no attribute 'garage_finish_costs'
534250300,200000,'CostTables' object has no attribute 'garage_finish_costs'
914476010,15000,'CostTables' object has no attribute 'garage_finish_costs'
914476010,40000,'CostTables' object has no attribute 'garage_finish_costs'
914476010,75000,'CostTables' object has no attribute 'garage_finish_costs'
914476010,200000,'CostTables' object has no attribute 'garage_finish_costs'
906412050,15000,'CostTables' object has no attribute 'garage_finish_costs'
906412050,40000,'CostTables' object has no attribute 'garage_finish_costs'
906412050,75000,'CostTables' object has no attribute 'garage_finish_costs'
906412050,200000,'CostTables' object has no attribute 'garage_finish_costs'
535457050,15000,'CostTables' object has no attribute 'garage_finish_costs'
535457050,40000,'CostTables' object has no attribute 'garage_finish_costs'
535457050,75000,'CostTables' object has no attribute 'garage_finish_costs'
535457050,200000,'CostTables' object has no attribute 'garage_finish_costs'
902326030,15000,'CostTables' object has no attribute 'garage_finish_costs'
902326030,40000,'CostTables' object has no attribute 'garage_finish_costs'
902326030,75000,'CostTables' object has no attribute 'garage_finish_costs'
902326030,200000,'CostTables' object has no attribute 'garage_finish_costs'
528344070,15000,'CostTables' object has no attribute 'garage_finish_costs'
528344070,40000,'CostTables' object has no attribute 'garage_finish_costs'
528344070,75000,'CostTables' object has no attribute 'garage_finish_costs'
528344070,200000,'CostTables' object has no attribute 'garage_finish_costs'
906226100,15000,'CostTables' object has no attribute 'garage_finish_costs'
906226100,40000,'CostTables' object has no attribute 'garage_finish_costs'
906226100,75000,'CostTables' object has no attribute 'garage_finish_costs'
906226100,200000,'CostTables' object has no attribute 'garage_finish_costs'
916325080,15000,'CostTables' object has no attribute 'garage_finish_costs'
916325080,40000,'CostTables' object has no attribute 'garage_finish_costs'
916325080,75000,'CostTables' object has no attribute 'garage_finish_costs'
916325080,200000,'CostTables' object has no attribute 'garage_finish_costs'
909256120,15000,'CostTables' object has no attribute 'garage_finish_costs'
909256120,40000,'CostTables' object has no attribute 'garage_finish_costs'
909256120,75000,'CostTables' object has no attribute 'garage_finish_costs'
909256120,200000,'CostTables' object has no attribute 'garage_finish_costs'
535176100,15000,'CostTables' object has no attribute 'garage_finish_costs'
535176100,40000,'CostTables' object has no attribute 'garage_finish_costs'
535176100,75000,'CostTables' object has no attribute 'garage_finish_costs'
535176100,200000,'CostTables' object has no attribute 'garage_finish_costs'
907181100,15000,'CostTables' object has no attribute 'garage_finish_costs'
907181100,40000,'CostTables' object has no attribute 'garage_finish_costs'
907181100,75000,'CostTables' object has no attribute 'garage_finish_costs'
907181100,200000,'CostTables' object has no attribute 'garage_finish_costs'
905101310,15000,'CostTables' object has no attribute 'garage_finish_costs'
905101310,40000,'CostTables' object has no attribute 'garage_finish_costs'
905101310,75000,'CostTables' object has no attribute 'garage_finish_costs'
905101310,200000,'CostTables' object has no attribute 'garage_finish_costs'
916460070,15000,'CostTables' object has no attribute 'garage_finish_costs'
916460070,40000,'CostTables' object has no attribute 'garage_finish_costs'
916460070,75000,'CostTables' object has no attribute 'garage_finish_costs'
916460070,200000,'CostTables' object has no attribute 'garage_finish_costs'
923125030,15000,'CostTables' object has no attribute 'garage_finish_costs'
923125030,40000,'CostTables' object has no attribute 'garage_finish_costs'
923125030,75000,'CostTables' object has no attribute 'garage_finish_costs'
923125030,200000,'CostTables' object has no attribute 'garage_finish_costs'
903232030,15000,'CostTables' object has no attribute 'garage_finish_costs'
903232030,40000,'CostTables' object has no attribute 'garage_finish_costs'
903232030,75000,'CostTables' object has no attribute 'garage_finish_costs'
903232030,200000,'CostTables' object has no attribute 'garage_finish_costs'
534251030,15000,'CostTables' object has no attribute 'garage_finish_costs'
534251030,40000,'CostTables' object has no attribute 'garage_finish_costs'
534251030,75000,'CostTables' object has no attribute 'garage_finish_costs'
534251030,200000,'CostTables' object has no attribute 'garage_finish_costs'
528435070,15000,'CostTables' object has no attribute 'garage_finish_costs'
528435070,40000,'CostTables' object has no attribute 'garage_finish_costs'
528435070,75000,'CostTables' object has no attribute 'garage_finish_costs'
528435070,200000,'CostTables' object has no attribute 'garage_finish_costs'
535355100,15000,'CostTables' object has no attribute 'garage_finish_costs'
535355100,40000,'CostTables' object has no attribute 'garage_finish_costs'
535355100,75000,'CostTables' object has no attribute 'garage_finish_costs'
535355100,200000,'CostTables' object has no attribute 'garage_finish_costs'
528110100,15000,'CostTables' object has no attribute 'garage_finish_costs'
528110100,40000,'CostTables' object has no attribute 'garage_finish_costs'
528110100,75000,'CostTables' object has no attribute 'garage_finish_costs'
528110100,200000,'CostTables' object has no attribute 'garage_finish_costs'
535126140,15000,'CostTables' object has no attribute 'garage_finish_costs'
535126140,40000,'CostTables' object has no attribute 'garage_finish_costs'
535126140,75000,'CostTables' object has no attribute 'garage_finish_costs'
535126140,200000,'CostTables' object has no attribute 'garage_finish_costs'
527165020,15000,'CostTables' object has no attribute 'garage_finish_costs'
527165020,40000,'CostTables' object has no attribute 'garage_finish_costs'
527165020,75000,'CostTables' object has no attribute 'garage_finish_costs'
527165020,200000,'CostTables' object has no attribute 'garage_finish_costs'
923230120,15000,'CostTables' object has no attribute 'garage_finish_costs'
923230120,40000,'CostTables' object has no attribute 'garage_finish_costs'
923230120,75000,'CostTables' object has no attribute 'garage_finish_costs'
923230120,200000,'CostTables' object has no attribute 'garage_finish_costs'
905325020,15000,'CostTables' object has no attribute 'garage_finish_costs'
905325020,40000,'CostTables' object has no attribute 'garage_finish_costs'
905325020,75000,'CostTables' object has no attribute 'garage_finish_costs'
905325020,200000,'CostTables' object has no attribute 'garage_finish_costs'
909252020,15000,'CostTables' object has no attribute 'garage_finish_costs'
909252020,40000,'CostTables' object has no attribute 'garage_finish_costs'
909252020,75000,'CostTables' object has no attribute 'garage_finish_costs'
909252020,200000,'CostTables' object has no attribute 'garage_finish_costs'
535376010,15000,'CostTables' object has no attribute 'garage_finish_costs'
535376010,40000,'CostTables' object has no attribute 'garage_finish_costs'
535376010,75000,'CostTables' object has no attribute 'garage_finish_costs'
535376010,200000,'CostTables' object has no attribute 'garage_finish_costs'
528176010,15000,'CostTables' object has no attribute 'garage_finish_costs'
528176010,40000,'CostTables' object has no attribute 'garage_finish_costs'
528176010,75000,'CostTables' object has no attribute 'garage_finish_costs'
528176010,200000,'CostTables' object has no attribute 'garage_finish_costs'
527356040,15000,'CostTables' object has no attribute 'garage_finish_costs'
527356040,40000,'CostTables' object has no attribute 'garage_finish_costs'
527356040,75000,'CostTables' object has no attribute 'garage_finish_costs'
527356040,200000,'CostTables' object has no attribute 'garage_finish_costs'
909101330,15000,'CostTables' object has no attribute 'garage_finish_costs'
909101330,40000,'CostTables' object has no attribute 'garage_finish_costs'
909101330,75000,'CostTables' object has no attribute 'garage_finish_costs'
909101330,200000,'CostTables' object has no attribute 'garage_finish_costs'
527162180,15000,'CostTables' object has no attribute 'garage_finish_costs'
527162180,40000,'CostTables' object has no attribute 'garage_finish_costs'
527162180,75000,'CostTables' object has no attribute 'garage_finish_costs'
527162180,200000,'CostTables' object has no attribute 'garage_finish_costs'
528218080,15000,'CostTables' object has no attribute 'garage_finish_costs'
528218080,40000,'CostTables' object has no attribute 'garage_finish_costs'
528218080,75000,'CostTables' object has no attribute 'garage_finish_costs'
528218080,200000,'CostTables' object has no attribute 'garage_finish_costs'
907412080,15000,'CostTables' object has no attribute 'garage_finish_costs'
907412080,40000,'CostTables' object has no attribute 'garage_finish_costs'
907412080,75000,'CostTables' object has no attribute 'garage_finish_costs'
907412080,200000,'CostTables' object has no attribute 'garage_finish_costs'
535301150,15000,'CostTables' object has no attribute 'garage_finish_costs'
535301150,40000,'CostTables' object has no attribute 'garage_finish_costs'
535301150,75000,'CostTables' object has no attribute 'garage_finish_costs'
535301150,200000,'CostTables' object has no attribute 'garage_finish_costs'
528172080,15000,'CostTables' object has no attribute 'garage_finish_costs'
528172080,40000,'CostTables' object has no attribute 'garage_finish_costs'
528172080,75000,'CostTables' object has no attribute 'garage_finish_costs'
528172080,200000,'CostTables' object has no attribute 'garage_finish_costs'
909281010,15000,'CostTables' object has no attribute 'garage_finish_costs'
909281010,40000,'CostTables' object has no attribute 'garage_finish_costs'
909281010,75000,'CostTables' object has no attribute 'garage_finish_costs'
909281010,200000,'CostTables' object has no attribute 'garage_finish_costs'
535380050,15000,'CostTables' object has no attribute 'garage_finish_costs'
535380050,40000,'CostTables' object has no attribute 'garage_finish_costs'
535380050,75000,'CostTables' object has no attribute 'garage_finish_costs'
535380050,200000,'CostTables' object has no attribute 'garage_finish_costs'
916386020,15000,'CostTables' object has no attribute 'garage_finish_costs'
916386020,40000,'CostTables' object has no attribute 'garage_finish_costs'
916386020,75000,'CostTables' object has no attribute 'garage_finish_costs'
916386020,200000,'CostTables' object has no attribute 'garage_finish_costs'
527108070,15000,'CostTables' object has no attribute 'garage_finish_costs'
527108070,40000,'CostTables' object has no attribute 'garage_finish_costs'
527108070,75000,'CostTables' object has no attribute 'garage_finish_costs'
527108070,200000,'CostTables' object has no attribute 'garage_finish_costs'
527225035,15000,'CostTables' object has no attribute 'garage_finish_costs'
527225035,40000,'CostTables' object has no attribute 'garage_finish_costs'
527225035,75000,'CostTables' object has no attribute 'garage_finish_costs'
527225035,200000,'CostTables' object has no attribute 'garage_finish_costs'
534125210,15000,'CostTables' object has no attribute 'garage_finish_costs'
534125210,40000,'CostTables' object has no attribute 'garage_finish_costs'
534125210,75000,'CostTables' object has no attribute 'garage_finish_costs'
534125210,200000,'CostTables' object has no attribute 'garage_finish_costs'
910206110,15000,'CostTables' object has no attribute 'garage_finish_costs'
910206110,40000,'CostTables' object has no attribute 'garage_finish_costs'
910206110,75000,'CostTables' object has no attribute 'garage_finish_costs'
910206110,200000,'CostTables' object has no attribute 'garage_finish_costs'
527405160,15000,'CostTables' object has no attribute 'garage_finish_costs'
527405160,40000,'CostTables' object has no attribute 'garage_finish_costs'
527405160,75000,'CostTables' object has no attribute 'garage_finish_costs'
527405160,200000,'CostTables' object has no attribute 'garage_finish_costs'
914475090,15000,'CostTables' object has no attribute 'garage_finish_costs'
914475090,40000,'CostTables' object has no attribute 'garage_finish_costs'
914475090,75000,'CostTables' object has no attribute 'garage_finish_costs'
914475090,200000,'CostTables' object has no attribute 'garage_finish_costs'
535175180,15000,'CostTables' object has no attribute 'garage_finish_costs'
535175180,40000,'CostTables' object has no attribute 'garage_finish_costs'
535175180,75000,'CostTables' object has no attribute 'garage_finish_costs'
535175180,200000,'CostTables' object has no attribute 'garage_finish_costs'
527450220,15000,'CostTables' object has no attribute 'garage_finish_costs'
527450220,40000,'CostTables' object has no attribute 'garage_finish_costs'
527450220,75000,'CostTables' object has no attribute 'garage_finish_costs'
527450220,200000,'CostTables' object has no attribute 'garage_finish_costs'
906475050,15000,'CostTables' object has no attribute 'garage_finish_costs'
906475050,40000,'CostTables' object has no attribute 'garage_finish_costs'
906475050,75000,'CostTables' object has no attribute 'garage_finish_costs'
906475050,200000,'CostTables' object has no attribute 'garage_finish_costs'
528477010,15000,'CostTables' object has no attribute 'garage_finish_costs'
528477010,40000,'CostTables' object has no attribute 'garage_finish_costs'
528477010,75000,'CostTables' object has no attribute 'garage_finish_costs'
528477010,200000,'CostTables' object has no attribute 'garage_finish_costs'
528221010,15000,'CostTables' object has no attribute 'garage_finish_costs'
528221010,40000,'CostTables' object has no attribute 'garage_finish_costs'
528221010,75000,'CostTables' object has no attribute 'garage_finish_costs'
528221010,200000,'CostTables' object has no attribute 'garage_finish_costs'
911204090,15000,'CostTables' object has no attribute 'garage_finish_costs'
911204090,40000,'CostTables' object has no attribute 'garage_finish_costs'
911204090,75000,'CostTables' object has no attribute 'garage_finish_costs'
911204090,200000,'CostTables' object has no attribute 'garage_finish_costs'
528166120,15000,'CostTables' object has no attribute 'garage_finish_costs'
528166120,40000,'CostTables' object has no attribute 'garage_finish_costs'
528166120,75000,'CostTables' object has no attribute 'garage_finish_costs'
528166120,200000,'CostTables' object has no attribute 'garage_finish_costs'
528138010,15000,'CostTables' object has no attribute 'garage_finish_costs'
528138010,40000,'CostTables' object has no attribute 'garage_finish_costs'
528138010,75000,'CostTables' object has no attribute 'garage_finish_costs'
528138010,200000,'CostTables' object has no attribute 'garage_finish_costs'
528174050,15000,'CostTables' object has no attribute 'garage_finish_costs'
528174050,40000,'CostTables' object has no attribute 'garage_finish_costs'
528174050,75000,'CostTables' object has no attribute 'garage_finish_costs'
528174050,200000,'CostTables' object has no attribute 'garage_finish_costs'
903235020,15000,'CostTables' object has no attribute 'garage_finish_costs'
903235020,40000,'CostTables' object has no attribute 'garage_finish_costs'
903235020,75000,'CostTables' object has no attribute 'garage_finish_costs'
903235020,200000,'CostTables' object has no attribute 'garage_finish_costs'
534429030,15000,'CostTables' object has no attribute 'garage_finish_costs'
534429030,40000,'CostTables' object has no attribute 'garage_finish_costs'
534429030,75000,'CostTables' object has no attribute 'garage_finish_costs'
534429030,200000,'CostTables' object has no attribute 'garage_finish_costs'
534202160,15000,'CostTables' object has no attribute 'garage_finish_costs'
534202160,40000,'CostTables' object has no attribute 'garage_finish_costs'
534202160,75000,'CostTables' object has no attribute 'garage_finish_costs'
534202160,200000,'CostTables' object has no attribute 'garage_finish_costs'
532479140,15000,'CostTables' object has no attribute 'garage_finish_costs'
532479140,40000,'CostTables' object has no attribute 'garage_finish_costs'
532479140,75000,'CostTables' object has no attribute 'garage_finish_costs'
532479140,200000,'CostTables' object has no attribute 'garage_finish_costs'
906380060,15000,'CostTables' object has no attribute 'garage_finish_costs'
906380060,40000,'CostTables' object has no attribute 'garage_finish_costs'
906380060,75000,'CostTables' object has no attribute 'garage_finish_costs'
906380060,200000,'CostTables' object has no attribute 'garage_finish_costs'
908127050,15000,'CostTables' object has no attribute 'garage_finish_costs'
908127050,40000,'CostTables' object has no attribute 'garage_finish_costs'
908127050,75000,'CostTables' object has no attribute 'garage_finish_costs'
908127050,200000,'CostTables' object has no attribute 'garage_finish_costs'
908228010,15000,'CostTables' object has no attribute 'garage_finish_costs'
908228010,40000,'CostTables' object has no attribute 'garage_finish_costs'
908228010,75000,'CostTables' object has no attribute 'garage_finish_costs'
908228010,200000,'CostTables' object has no attribute 'garage_finish_costs'
905476225,15000,'CostTables' object has no attribute 'garage_finish_costs'
905476225,40000,'CostTables' object has no attribute 'garage_finish_costs'
905476225,75000,'CostTables' object has no attribute 'garage_finish_costs'
905476225,200000,'CostTables' object has no attribute 'garage_finish_costs'
902128100,15000,'CostTables' object has no attribute 'garage_finish_costs'
902128100,40000,'CostTables' object has no attribute 'garage_finish_costs'
902128100,75000,'CostTables' object has no attribute 'garage_finish_costs'
902128100,200000,'CostTables' object has no attribute 'garage_finish_costs'
528228325,15000,'CostTables' object has no attribute 'garage_finish_costs'
528228325,40000,'CostTables' object has no attribute 'garage_finish_costs'
528228325,75000,'CostTables' object has no attribute 'garage_finish_costs'
528228325,200000,'CostTables' object has no attribute 'garage_finish_costs'
905102170,15000,'CostTables' object has no attribute 'garage_finish_costs'
905102170,40000,'CostTables' object has no attribute 'garage_finish_costs'
905102170,75000,'CostTables' object has no attribute 'garage_finish_costs'
905102170,200000,'CostTables' object has no attribute 'garage_finish_costs'
909455040,15000,'CostTables' object has no attribute 'garage_finish_costs'
909455040,40000,'CostTables' object has no attribute 'garage_finish_costs'
909455040,75000,'CostTables' object has no attribute 'garage_finish_costs'
909455040,200000,'CostTables' object has no attribute 'garage_finish_costs'
527425060,15000,'CostTables' object has no attribute 'garage_finish_costs'
527425060,40000,'CostTables' object has no attribute 'garage_finish_costs'
527425060,75000,'CostTables' object has no attribute 'garage_finish_costs'
527425060,200000,'CostTables' object has no attribute 'garage_finish_costs'
535301060,15000,'CostTables' object has no attribute 'garage_finish_costs'
535301060,40000,'CostTables' object has no attribute 'garage_finish_costs'
535301060,75000,'CostTables' object has no attribute 'garage_finish_costs'
535301060,200000,'CostTables' object has no attribute 'garage_finish_costs'
535453070,15000,'CostTables' object has no attribute 'garage_finish_costs'
535453070,40000,'CostTables' object has no attribute 'garage_finish_costs'
535453070,75000,'CostTables' object has no attribute 'garage_finish_costs'
535453070,200000,'CostTables' object has no attribute 'garage_finish_costs'
534276230,15000,'CostTables' object has no attribute 'garage_finish_costs'
534276230,40000,'CostTables' object has no attribute 'garage_finish_costs'
534276230,75000,'CostTables' object has no attribute 'garage_finish_costs'
534276230,200000,'CostTables' object has no attribute 'garage_finish_costs'
909253180,15000,'CostTables' object has no attribute 'garage_finish_costs'
909253180,40000,'CostTables' object has no attribute 'garage_finish_costs'
909253180,75000,'CostTables' object has no attribute 'garage_finish_costs'
909253180,200000,'CostTables' object has no attribute 'garage_finish_costs'
909100150,15000,'CostTables' object has no attribute 'garage_finish_costs'
909100150,40000,'CostTables' object has no attribute 'garage_finish_costs'
909100150,75000,'CostTables' object has no attribute 'garage_finish_costs'
909100150,200000,'CostTables' object has no attribute 'garage_finish_costs'
909280030,15000,'CostTables' object has no attribute 'garage_finish_costs'
909280030,40000,'CostTables' object has no attribute 'garage_finish_costs'
909280030,75000,'CostTables' object has no attribute 'garage_finish_costs'
909280030,200000,'CostTables' object has no attribute 'garage_finish_costs'
902103120,15000,'CostTables' object has no attribute 'garage_finish_costs'
902103120,40000,'CostTables' object has no attribute 'garage_finish_costs'
902103120,75000,'CostTables' object has no attribute 'garage_finish_costs'
902103120,200000,'CostTables' object has no attribute 'garage_finish_costs'
