pid,presupuesto,error,timestamp
909428180,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055343
909428180,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055345
909428180,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055346
909428180,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055347
531382090,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055349
531382090,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055350
531382090,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055351
531382090,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055352
528181040,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055354
528181040,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055355
528181040,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055357
528181040,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055358
527450010,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055373
527450010,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055375
527450010,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055377
527450010,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055378
527427230,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055380
527427230,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055381
527427230,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055382
527427230,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055384
909452114,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055385
909452114,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055387
909452114,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055388
909452114,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055389
906475070,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055391
906475070,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055392
906475070,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055393
906475070,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055395
902402130,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055396
902402130,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055398
902402130,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055399
902402130,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055400
535353050,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055402
535353050,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055403
535353050,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055404
535353050,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055406
907265010,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055407
907265010,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055408
907265010,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055410
907265010,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055411
528142060,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055412
528142060,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055450
528142060,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055452
528142060,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055454
535403030,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055456
535403030,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055458
535403030,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055459
535403030,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055460
909253010,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055462
909253010,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055463
909253010,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055465
909253010,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055466
528354050,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055486
528354050,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055488
528354050,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055490
528354050,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055491
902329090,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055492
902329090,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055493
902329090,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055495
902329090,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055496
907412080,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055497
907412080,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055498
907412080,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055500
907412080,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055501
902207150,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055502
902207150,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055504
902207150,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055505
902207150,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055506
909250060,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055507
909250060,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055509
909250060,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055510
909250060,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055512
902325160,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055513
902325160,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055514
902325160,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055516
902325160,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055517
535375040,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055518
535375040,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055519
535375040,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055521
535375040,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055522
909280030,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055523
909280030,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055525
909280030,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055526
909280030,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055527
533242080,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055528
533242080,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055530
533242080,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055531
533242080,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055533
528222040,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055534
528222040,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055535
528222040,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055536
528222040,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055538
534201240,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055542
534201240,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055543
534201240,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055545
534201240,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055546
905102170,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055547
905102170,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055549
905102170,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055550
905102170,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055551
533208040,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055552
533208040,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055554
533208040,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055555
533208040,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055556
535377090,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055557
535377090,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055559
535377090,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055560
535377090,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055562
535176050,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055563
535176050,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055564
535176050,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055565
535176050,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055566
906340080,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055568
906340080,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055569
906340080,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055570
906340080,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055572
533208030,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055573
533208030,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055574
533208030,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055575
533208030,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055577
905202210,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055578
905202210,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055579
905202210,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055581
905202210,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055582
527378140,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055583
527378140,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055584
527378140,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055586
527378140,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055587
533210060,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055588
533210060,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055590
533210060,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055591
533210060,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055592
528172060,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055598
528172060,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055599
528172060,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055601
528172060,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055602
909427230,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055603
909427230,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055604
909427230,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055606
909427230,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055607
527356020,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055608
527356020,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055609
527356020,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055611
527356020,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055612
534478230,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055613
534478230,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055614
534478230,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055615
534478230,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055617
905109170,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055618
905109170,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055619
905109170,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055621
905109170,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055622
528441080,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055623
528441080,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055624
528441080,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055626
528441080,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055627
534129040,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055628
534129040,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055629
534129040,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055630
534129040,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055632
534403080,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055633
534403080,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055634
534403080,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055636
534403080,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055637
905225040,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055638
905225040,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055639
905225040,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055641
905225040,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055642
906403060,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055643
906403060,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055644
906403060,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055646
906403060,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055647
527256040,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055653
527256040,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055654
527256040,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055655
527256040,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055656
528458140,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055658
528458140,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055659
528458140,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055660
528458140,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055661
527107010,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055663
527107010,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055664
527107010,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055665
527107010,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055666
534177180,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055668
534177180,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055669
534177180,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055670
534177180,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055671
527106140,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055673
527106140,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055674
527106140,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055675
527106140,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055676
535302080,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055678
535302080,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055679
535302080,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055680
535302080,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055681
909257050,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055683
909257050,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055684
909257050,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055685
909257050,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055686
535125060,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055688
535125060,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055689
535125060,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055690
535125060,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055691
909254090,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055693
909254090,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055694
909254090,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055695
909254090,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055697
903452025,15000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055698
903452025,40000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055700
903452025,75000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055701
903452025,200000,ejecutar_optimizacion_silenciosa() got an unexpected keyword argument 'basecsv',2025-10-20 19:41:07.055702
