neighborhood,budget,n,base_price_mean,base_price_median,base_price_p10,base_price_p90,base_price_std,opt_price_mean,opt_price_median,opt_price_p10,opt_price_p90,opt_price_std,cost_mean,cost_median,cost_p10,cost_p90,cost_std,net_gain_mean,net_gain_median,net_gain_p10,net_gain_p90,net_gain_std,net_gain_per_cost_mean,net_gain_per_cost_median,net_gain_per_cost_p10,net_gain_per_cost_p90,net_gain_per_cost_std,price_uplift_mean,price_uplift_median,price_uplift_p10,price_uplift_p90,price_uplift_std
BrkSide,50000,3.0,187130.58333333334,185340.484375,171283.096875,203694.109375,20316.117788343017,347333.7222550373,339922.0730817773,317296.5284980317,380335.5756813469,39918.823651674866,16583.213333333333,14463.2,11813.6,22200.832000000006,6746.641096170254,143619.92558837062,120488.3574567773,113566.83787303172,182925.64055634686,47754.15902444555,8.921129476430236,8.225936901030991,7.831174325119928,10.289161657900243,1.6500028106673195,1.8802385084116053,1.681446681241821,1.641908570053995,2.1980851776371293,0.3879067143202563
BrkSide,100000,3.0,187130.58333333334,185340.484375,171283.096875,203694.109375,20316.117788343017,347333.72225503734,339922.0730817774,317296.5284980317,380335.5756813469,39918.823651674866,16583.213333333333,14463.2,11813.6,22200.832000000006,6746.641096170254,143619.92558837065,120488.35745677736,113566.83787303173,182925.6405563469,47754.15902444554,8.921129476430238,8.225936901030991,7.831174325119928,10.289161657900248,1.6500028106673226,1.8802385084116056,1.681446681241821,1.6419085700539953,2.1980851776371293,0.38790671432025625
ClearCr,20000,3.0,307584.7291666667,297150.5,269708.675,349634.475,50764.35269327791,433149.6780790263,420053.8320827374,392282.90937137016,479254.78518519795,55527.96822289279,17349.728000000043,17690.0,15072.451200000101,19490.895999999997,2777.206450783164,108215.22091235958,113609.5547108131,81739.20269698519,132533.50560835254,32088.3240029795,6.140782417839701,6.422247298519678,5.377737695546283,6.791241187861129,0.9164510528421747,1.4189400931490492,1.361950586612109,1.3098177607382084,1.550858228174666,0.15852874633865693
ClearCr,50000,3.0,307584.7291666667,297150.5,269708.675,349634.475,50764.35269327791,453908.607911373,429493.28126378724,402737.0211057851,514846.32537599525,73189.13800617492,30866.144,24541.119999999995,23802.675199999998,40459.62240000001,11763.709969261234,115457.73474470632,128989.86965404719,86021.48758383708,139481.12794183922,35407.89660557599,3.9601396445657038,3.1873650637192172,2.9595621651803956,5.269826956289608,1.591470191268176,1.4816349820037011,1.4780882235949675,1.3618731780363786,1.6028154893345175,0.1506202670476481
ClearCr,100000,3.0,307584.7291666667,297150.5,269708.675,349634.475,50764.35269327791,453908.607911373,429493.28126378724,402737.0211057851,514846.32537599525,73189.13800617492,30866.14400000001,24541.119999999995,23802.67520000001,40459.62240000001,11763.709969261234,115457.73474470632,128989.86965404719,86021.48758383708,139481.12794183922,35407.89660557599,3.9601396445657033,3.1873650637192155,2.9595621651803947,5.269826956289608,1.5914701912681766,1.4816349820037011,1.4780882235949675,1.3618731780363786,1.6028154893345175,0.1506202670476481
CollgCr,20000,3.0,296192.3020833333,314246.78125,248926.28125,336236.53125,56764.76629746651,422635.85773343034,440016.43494172907,375038.60109473893,463280.88348880224,57168.550730675815,15815.404666666669,17569.096000000005,11452.544000000004,19476.788800000002,5240.070093316055,110628.15098343033,108628.8903829914,92413.02622998152,129642.97997705471,23333.048739179965,7.282510143743963,6.760471554143437,6.2984565087694975,8.47537921455864,1.433723177321294,1.4409760882978002,1.492766270380281,1.3286327315157225,1.5326033722468853,0.1351415495816783
CollgCr,50000,3.0,296192.3020833333,314246.78125,248926.28125,336236.53125,56764.76629746651,433818.8611759366,440016.43498473853,380528.6474494399,484630.04537891253,65284.3782143394,24354.612666666668,22901.320000000007,12518.988800000003,36771.5536,15210.014866884556,113271.9464259366,110159.22431561525,92719.09305091386,135069.8886450879,26606.161485470508,5.741907825599767,4.810169209268952,3.7711923486808017,8.085318749051057,2.8144791195460055,1.4791181334256596,1.5720668237208466,1.3444928422845208,1.5765639484487235,0.16588394810224555
CollgCr,100000,3.0,296192.3020833333,314246.78125,248926.28125,336236.53125,56764.76629746651,433818.8611616001,440016.4349417291,380528.647440838,484630.04537031066,65284.37821229795,24354.612666666668,22901.320000000007,12518.988800000003,36771.5536,15210.014866884556,113271.94641160012,110159.2243156152,92719.09301650632,135069.8886450879,26606.161505606608,5.741907824155053,4.810169209268949,3.771192348680801,8.085318745583745,2.814479117111203,1.4791181333837073,1.5720668237208464,1.3444928421838356,1.5765639484487235,0.1658839481748983
Crawfor,20000,3.0,284407.796875,298497.0625,260686.225,302493.6625,28838.15323241419,398965.26728510734,371526.9077106127,360701.0619972172,448204.8164027954,59629.078415479016,15790.660666666672,17341.0,13295.307200000005,17665.87840000001,3043.7379714438853,98766.80974344065,89013.98694386828,62353.87355726381,139080.87504944645,48692.50800181047,6.856089315575353,5.015692534287477,3.572256560515886,10.876080783149973,4.835133629684525,1.4031969487200662,1.4249476216510206,1.280716328738841,1.5169772995289093,0.14885970550468225
Crawfor,50000,3.0,284407.796875,298497.0625,260686.225,302493.6625,28838.15323241419,413485.3924067774,382477.0625245265,371600.6985060053,467773.41826045,65833.90483875001,27325.026,27612.244000000006,26247.2488,28287.916000000005,1299.4457120372535,101752.56953177745,89191.25787637499,64297.45159489619,144232.21213081968,51129.874916203735,3.699270284574301,3.134264966945198,2.4202290460263125,5.204313650173931,1.8075417764270294,1.4537289048875397,1.468281835660735,1.3187306089251336,1.5829060285406678,0.16558995489340436
Crawfor,100000,3.0,284407.796875,298497.0625,260686.225,302493.6625,28838.15323241419,413485.3924294725,382477.06252452644,371600.69856047345,467773.41826045,65833.90481568546,27325.026,27612.244000000006,26247.2488,28287.916000000005,1299.4457120372535,101752.56955447252,89191.25794446026,64297.451608513205,144232.21214443672,51129.87490784035,3.6992702853718264,3.1342649693377784,2.420229046504827,5.2043136506524466,1.8075417760530912,1.4537289049778745,1.4682818359317389,1.3187306089793343,1.5829060285948684,0.1655899549053131
Edwards,20000,3.0,200812.75520833334,202218.640625,188542.715625,212520.440625,15035.455527592123,320704.6909225989,315195.053713936,284097.2676994482,359515.9690292147,47377.57342300208,18671.870666666666,18386.236000000004,18278.028,19179.967200000003,615.5985632255273,101220.06504759887,94725.43708893599,77195.36807444823,127842.6132042147,32150.339036970065,5.391584679261659,5.190157342212054,4.206177502065661,6.6575627912775,1.5420144523754686,1.5914192734472614,1.5586844651895504,1.505847727626356,1.6900847425712513,0.11858654475050442
Edwards,50000,3.0,200812.75520833334,202218.640625,188542.715625,212520.440625,15035.455527592123,326583.6627507882,325885.5278381505,289123.9627007112,364322.6167659202,47003.04746828492,22725.19333333333,22678.4,21884.668800000003,23584.435199999985,1063.1266309096525,103045.71420912149,99855.94321315055,78470.06947571119,128897.2673409202,31637.828372887656,4.523144802511882,4.19369946916639,3.5362518471792193,5.641815891182742,1.3465502306405617,1.620712062662091,1.6115503834410692,1.5320245300464104,1.713064266966181,0.11342767548190703
Edwards,100000,3.0,200812.75520833334,202218.640625,188542.715625,212520.440625,15035.455527592123,326583.66285035445,325885.528138916,289123.96275921096,364322.6168260734,47003.047467076896,22725.19333333333,22678.4,21884.668800000003,23584.435199999985,1063.1266309096525,103045.71430868779,99855.94351391605,78470.06953421097,128897.26740107335,31637.82835870318,4.523144806690582,4.193699481797787,3.53625184962926,5.6418158937090235,1.3465502291361104,1.6207120631541463,1.6115503849283974,1.532024530334945,1.713064267263647,0.11342767542718334
Gilbert,20000,3.0,268072.5364583333,263894.59375,261576.13125,276240.11875,9853.348961268082,398632.4868470861,404890.31134107884,382755.7486434306,412006.0952531445,19067.834112221073,13658.343333333332,15244.190000000002,7692.838000000001,18989.51,7192.754188350476,116901.60705541942,114532.7012311609,111243.01412144699,123507.76231909524,7935.249207841147,11.00624275130648,8.249144598111071,6.248187683163863,16.867137080727264,7.053288781400658,1.4869898913592268,1.481366935221545,1.4525251693815462,1.52370379579198,0.044752368644848835
Gilbert,50000,3.0,268072.5364583333,263894.59375,261576.13125,276240.11875,9853.348961268082,419617.4868914794,425620.58178611525,401107.0947532155,435726.6410718888,22253.022197080827,31087.708666666662,30283.869999999995,23190.117999999995,39306.8348,10096.974738119603,120457.24176647933,117364.07989333221,113525.23787465887,128626.51040755864,9811.073161190112,4.140033717354605,4.340334245131658,3.1271006469955855,5.072846576602803,1.228400605418416,1.5650518438743395,1.5689637606647855,1.5244716672875067,1.604067253744994,0.04986246444135756
Gilbert,100000,3.0,268072.5364583333,263894.59375,261576.13125,276240.11875,9853.348961268082,419617.4868914794,425620.58178611525,401107.0947532155,435726.6410718888,22253.022197080827,31087.708666666662,30283.869999999995,23190.117999999995,39306.8348,10096.974738119603,120457.24176647933,117364.07989333221,113525.23787465887,128626.51040755864,9811.073161190112,4.140033717354605,4.340334245131658,3.1271006469955855,5.072846576602803,1.228400605418416,1.5650518438743395,1.5689637606647855,1.5244716672875067,1.604067253744994,0.04986246444135756
IDOTRR,20000,3.0,154576.0859375,158180.96875,126666.075,181044.14375,34129.378764146866,263978.8490731865,248648.7373536833,240891.80158405425,293197.94125012006,35284.313481946876,14543.466666666669,16180.480000000005,11931.392000000005,16500.736,3188.3666030952772,94859.29646901984,100994.50472422922,83877.8198277925,103386.68980816341,13300.40979975179,6.6136604958961795,6.426554470519227,6.158151998235334,7.1440114037078075,0.6371124445878451,1.7376927685140868,1.629553138098631,1.5834512246641899,1.935190164530166,0.23895369809853476
IDOTRR,50000,3.0,154576.0859375,158180.96875,126666.075,181044.14375,34129.378764146866,270137.6789489411,248648.73735368333,240891.80158405425,307979.1329519311,45873.966622222455,20501.06666666664,16180.479999999923,11931.391999999987,30798.975999999984,12371.642012107108,95060.52634477448,101598.19435149303,83998.55775324527,103507.42773361625,13443.442372204958,5.5662570946053975,6.426554470519265,3.6443838351374294,7.144011403707818,2.310675576156155,1.7706700224058889,1.7284848997740374,1.6032375769992713,1.9549765168652473,0.22285179719663556
IDOTRR,100000,3.0,154576.0859375,158180.96875,126666.075,181044.14375,34129.378764146866,270137.6789712184,248648.7373536833,240891.80163751985,307979.1329519311,45873.966599506275,20501.066666666666,16180.479999999967,11931.392000000018,30798.97599999999,12371.64201210709,95060.52636705177,101598.19435149303,83998.55775324523,103507.42778708183,13443.442394387648,5.566257095982185,6.426554474649654,3.6443838359635072,7.1440114045338765,2.3106755769250467,1.7706700225934284,1.7284848997740374,1.603237576999271,1.9549765173153424,0.22285179750076473
MeadowV,20000,3.0,138233.69010416666,137140.65625,126232.4875,150672.10625,15304.064421563191,209828.63811385678,206188.55043811968,199730.20355030475,221383.10774770367,13895.378021082422,11717.613333333305,10615.839999999998,10438.176000000005,13437.759999999927,2103.5870379266707,59877.33467635682,60466.931515851116,59016.69365366596,60502.13696324996,1059.5511906617637,5.206197214965063,5.643206518922857,4.548900396657294,5.688690311689716,0.806661024920327,1.5230946715427338,1.5034823084282833,1.4700543806270394,1.5839799077042087,0.07320119884264811
MeadowV,50000,3.0,138233.69010416666,137140.65625,126232.4875,150672.10625,15304.064421563191,209828.6381067045,206188.55043811945,199730.2035503047,221383.10773053826,13895.37800922861,11717.613333333264,10615.840000000013,10438.175999999808,13437.76000000002,2103.5870379268104,59877.334669204545,60466.931515851,59016.69365366596,60502.136946084545,1059.5511842462297,5.206197214291359,5.6432065189229945,4.548900396657287,5.688690310072777,0.8066610243016641,1.5230946714963067,1.5034823084282816,1.4700543805156154,1.5839799077042083,0.07320119890105846
MeadowV,100000,3.0,138233.69010416666,137140.65625,126232.4875,150672.10625,15304.064421563191,209828.63811323108,206188.5504576993,199730.20355422067,221383.10773445424,13895.378006664003,11717.61333333334,10615.839999999984,10438.176000000018,13437.760000000004,2103.587037926726,59877.33467573108,60466.931515851,59016.693669329616,60502.136946084574,1059.5511729444047,5.2061972149192455,5.643206520806631,4.548900397034018,5.688690310449519,0.8066610248118979,1.5230946715438975,1.5034823085710538,1.47005438054417,1.5839799077327628,0.07320119888193238
Mitchel,20000,3.0,246471.63020833334,259983.703125,218247.515625,269290.915625,33980.548338639455,352694.2818332508,349799.5135346553,325397.4613701398,381149.0096157998,34934.783683052396,18219.949333333334,19669.2,16172.534400000002,19687.664,2530.189970547928,88002.70229158406,96185.1115790109,75354.31064352643,97378.13022467097,15481.795341335903,4.937910849564635,4.960135895187657,3.84508110739884,6.02185057348122,1.360617061524015,1.4380120619062007,1.4321097512571093,1.3627956131543522,1.5155894349176857,0.09563284185444416
Mitchel,50000,3.0,246471.63020833334,259983.703125,218247.515625,269290.915625,33980.548338639455,362948.61153231957,366171.2293974911,339192.831696204,385415.34422236646,29023.56514789355,26814.229333333333,26167.487999999998,21587.3216,32299.83359999999,6718.70639830178,89662.75199065292,98166.37417858536,77516.95985370995,98407.09525242289,14990.048917708418,3.567890974761115,3.762962479275133,2.4634612301526544,4.59429211756397,1.3424414883581388,1.4816191833044143,1.4366749515621773,1.414086321249317,1.5671297380564064,0.10326818968943406
Mitchel,100000,3.0,246471.63020833334,259983.703125,218247.515625,269290.915625,33980.548338639455,362948.6115433976,366171.2294307251,339192.8317028509,385415.3442290133,29023.565149738584,26814.22933333335,26167.487999999998,21587.3216,32299.83360000005,6718.706398301819,89662.75200173091,98166.37417858536,77516.95988029712,98407.09525242294,14990.048898521769,3.567890975088547,3.762962479275135,2.463461230938488,4.59429211756397,1.3424414878352133,1.481619183347025,1.4366749515621773,1.4140863213515822,1.5671297380564067,0.10326818964414096
NPkVill,20000,3.0,216988.65625,217762.59375,214217.50625,219450.23125,3338.427486594842,289599.5969437401,287309.98629252077,284363.11312836246,295751.9250196055,7389.030213974162,17807.9053333333,18684.959999999974,16134.687999999958,19130.30079999997,2020.462492798463,54803.035360406815,54737.11591752077,47002.85855336249,62629.57994460555,9766.867712042109,3.1418252154384962,2.844722554647684,2.4985946343367256,3.9038968608565914,0.9152255380070035,1.3348567728561338,1.3467788115240487,1.3013242291823233,1.363620501062778,0.0402808727761726
NPkVill,50000,3.0,216988.65625,217762.59375,214217.50625,219450.23125,3338.427486594842,289599.5969249157,287309.98629252077,284363.11312836246,295751.9249744268,7389.030182398378,17807.905333333238,18684.95999999996,16134.68799999982,19130.30079999997,2020.4624927985556,54803.035341582414,54737.11591752077,47002.85855336249,62629.579899427,9766.867683710709,3.141825214223809,2.844722554647684,2.498594634336727,3.9038968579413407,0.9152255359627184,1.3348567727696892,1.3467788115240487,1.3013242291823233,1.3636205008553106,0.04028087267002633
NPkVill,100000,3.0,216988.65625,217762.59375,214217.50625,219450.23125,3338.427486594842,289599.5969355307,287309.98629252077,284363.11315383867,295751.9249744268,7389.030169526704,17807.905333333303,18684.960000000003,16134.687999999982,19130.300799999943,2020.4624927984403,54803.03535219744,54737.11591752083,47002.858578838684,62629.579899426826,9766.867667841978,3.1418252147918957,2.8447225546476935,2.498594635700184,3.903896857941289,0.9152255352832033,1.3348567728179674,1.3467788115240487,1.3013242292981917,1.3636205008553106,0.04028087258931108
NWAmes,20000,3.0,275896.21875,280173.53125,245464.73125,304616.78125,37155.14449296313,342869.7540501596,344739.8164333587,331678.24613029405,353313.23701674544,13618.509443515384,10924.35066666668,10772.732000000036,7710.546400000007,14198.802400000013,4057.2852735124943,56049.1846334929,53793.55318335869,40985.90936674542,72014.71248029407,19491.137201442118,5.173287571980629,5.0859099842798345,5.011975754529211,5.369550424512364,0.23594767598236646,1.2537839730366127,1.230451052586213,1.1612495959397793,1.3556515183136064,0.12317004848796258
NWAmes,50000,3.0,275896.21875,280173.53125,245464.73125,304616.78125,37155.14449296313,346131.97056429816,344739.8164333587,339507.5657642268,353313.23701674544,8712.367680381072,13540.254666666651,10772.73199999996,7710.546399999992,20476.971999999987,8331.211353167158,56695.49714763154,53793.553183358745,40985.90936674543,73565.86251422677,20516.972797824677,4.620612286132947,4.993492197091596,3.7410057408077177,5.351066867074717,1.0568327778507092,1.267560950637238,1.230451052586213,1.1612495959397793,1.388716264555107,0.14575397029728732
NWAmes,100000,3.0,275896.21875,280173.53125,245464.73125,304616.78125,37155.14449296313,346131.97057480813,344739.8164333587,339507.56578945054,353313.23701674544,8712.367666027412,13540.254666666668,10772.732000000013,7710.546400000003,20476.971999999998,8331.211353167151,56695.497158141436,53793.55318335869,40985.90936674542,73565.86253945055,20516.972814585744,4.620612286591825,4.993492197091566,3.741005741909042,5.351066867074711,1.0568327770738617,1.2675609506816237,1.230451052586213,1.1612495959397793,1.388716264661632,0.1457539703707025
No aplicames,20000,3.0,216658.78125,206602.328125,197301.490625,240038.653125,28094.698798672584,355939.4006315346,356770.02251349745,330515.2833886925,381031.2691215914,31580.684646206082,17087.213333333337,16480.0,15808.73600000001,18608.576,1827.2057996113401,122193.4060482012,119558.12639861496,105278.30566571595,140162.61829052094,21921.816768112738,7.188853816705973,6.502708950783656,6.297558679745626,8.354606900035247,1.4163351354179032,1.6520607813145345,1.5679958766558126,1.5602984071018506,1.7774491173907072,0.15401259931451797
No aplicames,50000,3.0,216658.78125,206602.328125,197301.490625,240038.653125,28094.698798672584,366045.7709300406,370223.1854932879,333205.91598465055,397214.66005013173,40168.71080163829,25739.663999999993,27300.0,17972.735999999986,32882.4576,9416.041896277235,123647.32568004062,121286.72231434268,105624.02484886153,142614.86785749887,23209.487276976397,5.153442521484506,5.419300521732159,3.914514577896582,6.286027264973369,1.499971215798546,1.6976934254446696,1.626273000056797,1.5796513013360096,1.8443037197084782,0.17659384312791596
No aplicames,100000,3.0,216658.78125,206602.328125,197301.490625,240038.653125,28094.698798672584,366045.7709300406,370223.1854932879,333205.91598465055,397214.66005013173,40168.71080163829,25739.664000000008,27300.0,17972.736000000015,32882.4576,9416.041896277215,123647.3256800406,121286.72231434268,105624.02484886149,142614.86785749887,23209.487276976422,5.1534425214845,5.419300521732159,3.914514577896582,6.286027264973355,1.4999712157985376,1.6976934254446696,1.626273000056797,1.5796513013360096,1.8443037197084782,0.17659384312791596
NoRidge,20000,3.0,481623.6041666667,477008.46875,448775.11875,516318.14375,42403.17655583973,618200.7611218874,601854.2823700251,596004.6355979922,646935.4781465273,34837.731366220345,18854.496,19340.0,17830.790399999998,19684.0,1232.2104374042624,117722.66095522065,114606.72659065283,107325.99621415061,129365.69944211782,14036.641343789659,6.25063112744771,6.566408192485814,5.677534528674001,6.697416900206179,0.6936129225458747,1.2862342730104486,1.261726618705918,1.2531417937722735,1.3291298139704355,0.05201930021597224
NoRidge,50000,3.0,481623.6041666667,477008.46875,448775.11875,516318.14375,42403.17655583973,648405.8060890693,660762.9185816486,618391.6610613453,673477.1061197618,36053.274693392144,32281.90533333333,25066.687999999995,24498.761599999998,42951.13599999999,13116.724987213129,134500.29658906933,126153.31050429004,109809.61404587352,162529.77356617688,33733.7101839845,4.338715752881877,4.217696806665061,3.7387861548911516,4.987052929359329,0.7871748991896819,1.3520492467324416,1.2860616932491757,1.276563375790128,1.4539301390680615,0.12471739079052588
NoRidge,100000,3.0,481623.6041666667,477008.46875,448775.11875,516318.14375,42403.17655583973,667224.1618233409,676655.6530042901,621570.2079458735,709105.5192284287,55315.926910278475,44866.66066666666,25066.687999999995,24498.761599999998,73154.5488,34911.16152691356,140733.8969900076,126153.31050429004,109809.61404587352,177490.41452842872,44144.95953635052,3.877187528596419,4.217696806665061,2.6311184166060504,4.987052929359329,1.5016975862502582,1.3946520106143527,1.2860616932491757,1.276563375790128,1.5561767723846485,0.19845498647759632
NridgHt,20000,3.0,482496.9375,485795.90625,421567.95625,542106.33125,75390.63784114528,674941.1608526771,710717.8375587561,601345.3525292663,734226.2984936563,88641.85608602893,19006.57933333333,19834.361999999994,17818.8724,19863.1732,1465.0613409578903,173437.64401934377,166604.47622738138,152246.41566299138,197362.13949248113,28811.60198057675,9.145450408334366,9.62197379309162,7.920328503173109,10.17996295959272,1.4713316388487656,1.4030604591804032,1.4155035880811642,1.3476455400418266,1.4534981267586755,0.06702974652096698
NridgHt,50000,3.0,482496.9375,485795.90625,421567.95625,542106.33125,75390.63784114528,730526.3207479967,752913.6103870762,645535.8423375001,806561.8833028617,102491.7528785008,48819.51866666667,48772.04000000001,48034.0016,49624.027200000004,994.6162730406835,199209.86458133013,215017.9740318081,173678.32086644653,218418.16451602257,31133.875194430173,4.0895465924051075,4.408631954533951,3.503767507569071,4.547691532389607,0.7085590210015661,1.5166165192585537,1.525708175619124,1.4845700885488151,1.5450262874240641,0.03859675219077477
NridgHt,100000,3.0,482496.9375,485795.90625,421567.95625,542106.33125,75390.63784114528,764411.2778306552,824362.6268869932,672387.3895931826,832454.6264455926,112712.15357157668,72420.76066666667,60633.520000000004,59394.12,90162.2976,21771.574379744823,209493.57966398852,219209.4188352424,178441.1569828324,236659.66667664304,37346.76049637042,2.9852876004119793,2.7748527797780818,2.531686810827235,3.523062318250283,0.6458546902318693,1.5872416130965619,1.564430136687221,1.5131761760765814,1.670431640680279,0.100250426634057
OldTown,20000,3.0,190382.89583333334,205099.53125,165202.66875,209676.46875,30578.735806209203,312650.72650056356,312115.28665594826,276254.38164842036,349261.24729055294,45631.647147962794,18274.52,17899.160000000003,17435.352000000003,19263.832000000002,1188.1343304525785,103993.31066723024,94741.30227153838,88876.8647790663,122810.55991367092,22671.6285001062,5.727376955794067,5.4702415944858584,4.6609243364824104,6.8966837196290065,1.4149822933790885,1.6481355219571132,1.700723563361866,1.5575645078468616,1.7176713195054638,0.1099430874950834
OldTown,50000,3.0,190382.89583333334,205099.53125,165202.66875,209676.46875,30578.735806209203,318540.91569685325,312115.28665594826,286583.6931341615,353068.3898759069,41923.89506081038,23249.653333333335,22499.160000000003,20183.832000000002,26615.672,4072.103411326059,104908.36653018655,97327.54162871483,89394.11265050157,123454.95037046022,22277.3792751467,4.585549156491726,4.458595021981549,3.708235430739487,5.5136445360480355,1.1337243922631608,1.6833860710269597,1.7232969072562314,1.5620791766257347,1.7887286309364756,0.14581170280605388
OldTown,100000,3.0,190382.89583333334,205099.53125,165202.66875,209676.46875,30578.735806209203,318540.91569685325,312115.28665594826,286583.6931341615,353068.3898759069,41923.89506081038,23249.653333333335,22499.160000000003,20183.832000000002,26615.672,4072.103411326059,104908.36653018655,97327.54162871483,89394.11265050157,123454.95037046022,22277.3792751467,4.585549156491726,4.458595021981549,3.708235430739487,5.5136445360480355,1.1337243922631608,1.6833860710269597,1.7232969072562314,1.5620791766257347,1.7887286309364756,0.14581170280605388
