index,pred_base,pred_recon,equal,n_diffs,sample_diffs
177,179320.453125,179320.453125,True,0,
178,218358.203125,218358.203125,True,0,
179,148477.078125,148477.078125,True,0,
180,21180.33203125,21180.33203125,True,0,
181,155228.453125,155228.453125,True,0,
182,221608.25,221608.25,True,0,
183,197497.296875,197497.296875,True,0,
184,343376.21875,343376.21875,True,0,
185,112038.5234375,112038.5234375,True,0,
186,220152.671875,220152.671875,True,0,
187,178031.375,178031.375,True,0,
188,184909.890625,184909.890625,True,0,
189,207924.875,207924.875,True,0,
190,192215.765625,192215.765625,True,0,
191,307228.78125,307228.78125,True,0,
192,126026.21875,126026.21875,True,0,
193,189792.203125,189792.203125,True,0,
194,190935.75,190935.75,True,0,
195,194509.75,194509.75,True,0,
196,205503.0625,205503.0625,True,0,
197,179125.59375,179125.59375,True,0,
198,200745.4375,200745.4375,True,0,
199,162364.984375,162364.984375,True,0,
