combo,count
BsmtFin SF 1 + Exter Cond + Kitchen Qual,2
BsmtFin SF 1 + Exter Cond + Low Qual Fin SF,2
BsmtFin SF 1 + Exter Cond + Utilities,2
BsmtFin SF 1 + Exter Qual + Fireplace Qu,2
BsmtFin SF 1 + Exter Qual + Garage Cars,2
BsmtFin SF 1 + Exter Qual + Garage Cond,2
BsmtFin SF 1 + Exter Qual + Garage Qual,2
BsmtFin SF 1 + Exter Qual + Gr Liv Area,2
Bsmt Unf SF + Gr Liv Area + Low Qual Fin SF,2
Bsmt Unf SF + Gr Liv Area + Kitchen Qual,2
Bsmt Unf SF + Gr Liv Area + Heating QC,2
Bsmt Unf SF + Garage Qual + Utilities,2
Bsmt Unf SF + Fireplace Qu + Heating QC,2
Bsmt Unf SF + Fireplace Qu + Kitchen Qual,2
Bsmt Unf SF + Fireplace Qu + Low Qual Fin SF,2
Bsmt Unf SF + Fireplace Qu + Utilities,2
Bsmt Unf SF + Garage Cars + Garage Cond,2
Bsmt Unf SF + Garage Cars + Garage Qual,2
Bsmt Unf SF + Garage Cars + Gr Liv Area,2
Bsmt Unf SF + Garage Cars + Heating QC,2
Bsmt Unf SF + Garage Cars + Kitchen Qual,2
Bsmt Unf SF + Garage Cars + Low Qual Fin SF,2
Bsmt Unf SF + Garage Cars + Utilities,2
Bsmt Unf SF + Garage Cond + Garage Qual,2
Bsmt Unf SF + Garage Cond + Gr Liv Area,2
Bsmt Unf SF + Garage Cond + Heating QC,2
Bsmt Unf SF + Garage Cond + Kitchen Qual,2
Bsmt Unf SF + Garage Cond + Low Qual Fin SF,2
Bsmt Unf SF + Garage Cond + Utilities,2
Bsmt Unf SF + Garage Qual + Gr Liv Area,2
Bsmt Unf SF + Garage Qual + Heating QC,2
Bsmt Unf SF + Garage Qual + Kitchen Qual,2
Bsmt Unf SF + Garage Qual + Low Qual Fin SF,2
Bsmt Qual + Garage Cond + Heating QC,2
Bsmt Qual + Garage Cond + Gr Liv Area,2
Bsmt Qual + Garage Cond + Garage Qual,2
Bsmt Cond + Gr Liv Area + Utilities,2
Bsmt Cond + Garage Cond + Low Qual Fin SF,2
Bsmt Cond + Garage Cond + Utilities,2
Bsmt Cond + Garage Qual + Gr Liv Area,2
Bsmt Cond + Garage Qual + Heating QC,2
Bsmt Cond + Garage Qual + Kitchen Qual,2
Bsmt Cond + Garage Qual + Low Qual Fin SF,2
Bsmt Cond + Garage Qual + Utilities,2
Bsmt Cond + Gr Liv Area + Heating QC,2
Bsmt Cond + Gr Liv Area + Kitchen Qual,2
Bsmt Cond + Gr Liv Area + Low Qual Fin SF,2
Bsmt Cond + Heating QC + Kitchen Qual,2
Bsmt Qual + Bsmt Unf SF + Garage Qual,2
Bsmt Cond + Heating QC + Low Qual Fin SF,2
Bsmt Cond + Heating QC + Utilities,2
Bsmt Cond + Kitchen Qual + Low Qual Fin SF,2
Bsmt Cond + Kitchen Qual + Utilities,2
Bsmt Cond + Low Qual Fin SF + Utilities,2
Bsmt Qual + Bsmt Unf SF + BsmtFin SF 1,2
Bsmt Qual + Bsmt Unf SF + Exter Cond,2
Bsmt Qual + Bsmt Unf SF + Exter Qual,2
Bsmt Qual + Bsmt Unf SF + Fireplace Qu,2
Bsmt Qual + Bsmt Unf SF + Garage Cars,2
Bsmt Cond + Garage Cond + Kitchen Qual,2
Bsmt Cond + Garage Cond + Heating QC,2
Bsmt Cond + Garage Cond + Gr Liv Area,2
Bsmt Cond + Garage Cond + Garage Qual,2
Bsmt Cond + Exter Qual + Garage Qual,2
Bsmt Cond + Exter Qual + Gr Liv Area,2
Bsmt Cond + Exter Qual + Heating QC,2
Bsmt Cond + Exter Qual + Kitchen Qual,2
Bsmt Cond + Exter Qual + Low Qual Fin SF,2
Bsmt Cond + Exter Qual + Utilities,2
Bsmt Cond + Fireplace Qu + Garage Cars,2
Bsmt Cond + Fireplace Qu + Garage Cond,2
Bsmt Cond + Fireplace Qu + Garage Qual,2
Bsmt Cond + Fireplace Qu + Gr Liv Area,2
Bsmt Cond + Fireplace Qu + Heating QC,2
Bsmt Cond + Fireplace Qu + Kitchen Qual,2
Bsmt Cond + Fireplace Qu + Low Qual Fin SF,2
Bsmt Cond + Fireplace Qu + Utilities,2
Bsmt Cond + Garage Cars + Garage Cond,2
Bsmt Cond + Garage Cars + Garage Qual,2
Bsmt Cond + Garage Cars + Gr Liv Area,2
Bsmt Cond + Garage Cars + Heating QC,2
Bsmt Cond + Garage Cars + Kitchen Qual,2
Bsmt Cond + Garage Cars + Low Qual Fin SF,2
Bsmt Cond + Garage Cars + Utilities,2
Bsmt Qual + Bsmt Unf SF + Garage Cond,2
Bsmt Qual + Bsmt Unf SF + Gr Liv Area,2
Bsmt Qual + Garage Cars + Utilities,2
Bsmt Qual + Fireplace Qu + Garage Qual,2
Bsmt Qual + Exter Qual + Garage Cars,2
Bsmt Qual + Exter Qual + Garage Cond,2
Bsmt Qual + Exter Qual + Garage Qual,2
Bsmt Qual + Exter Qual + Gr Liv Area,2
Bsmt Qual + Exter Qual + Heating QC,2
Bsmt Qual + Exter Qual + Kitchen Qual,2
Bsmt Qual + Exter Qual + Low Qual Fin SF,2
Bsmt Qual + Exter Qual + Utilities,2
Bsmt Qual + Fireplace Qu + Garage Cars,2
Bsmt Qual + Fireplace Qu + Garage Cond,2
Bsmt Qual + Fireplace Qu + Gr Liv Area,2
Bsmt Qual + Bsmt Unf SF + Heating QC,2
Bsmt Qual + Fireplace Qu + Heating QC,2
Bsmt Qual + Fireplace Qu + Kitchen Qual,2
Bsmt Qual + Fireplace Qu + Low Qual Fin SF,2
Bsmt Qual + Fireplace Qu + Utilities,2
Bsmt Qual + Garage Cars + Garage Cond,2
Bsmt Qual + Garage Cars + Garage Qual,2
Bsmt Qual + Garage Cars + Gr Liv Area,2
Bsmt Qual + Garage Cars + Heating QC,2
Bsmt Qual + Garage Cars + Kitchen Qual,2
Bsmt Qual + Garage Cars + Low Qual Fin SF,2
Bsmt Qual + Exter Qual + Fireplace Qu,2
Bsmt Qual + Exter Cond + Utilities,2
Bsmt Qual + Exter Cond + Low Qual Fin SF,2
Bsmt Qual + Exter Cond + Kitchen Qual,2
Bsmt Qual + Bsmt Unf SF + Kitchen Qual,2
Bsmt Qual + Bsmt Unf SF + Low Qual Fin SF,2
Bsmt Qual + Bsmt Unf SF + Utilities,2
Bsmt Qual + BsmtFin SF 1 + Exter Cond,2
Bsmt Qual + BsmtFin SF 1 + Exter Qual,2
Bsmt Qual + BsmtFin SF 1 + Fireplace Qu,2
Bsmt Qual + BsmtFin SF 1 + Garage Cars,2
Bsmt Qual + BsmtFin SF 1 + Garage Cond,2
Bsmt Qual + BsmtFin SF 1 + Garage Qual,2
Bsmt Qual + BsmtFin SF 1 + Gr Liv Area,2
Bsmt Qual + BsmtFin SF 1 + Heating QC,2
Bsmt Qual + BsmtFin SF 1 + Kitchen Qual,2
Bsmt Qual + BsmtFin SF 1 + Low Qual Fin SF,2
Bsmt Qual + BsmtFin SF 1 + Utilities,2
Bsmt Qual + Exter Cond + Exter Qual,2
Bsmt Qual + Exter Cond + Fireplace Qu,2
Bsmt Qual + Exter Cond + Garage Cars,2
Bsmt Qual + Exter Cond + Garage Cond,2
Bsmt Qual + Exter Cond + Garage Qual,2
Bsmt Qual + Exter Cond + Gr Liv Area,2
Bsmt Qual + Exter Cond + Heating QC,2
BsmtFin SF 1 + Exter Qual + Heating QC,2
BsmtFin SF 1 + Exter Qual + Kitchen Qual,2
BsmtFin SF 1 + Exter Qual + Low Qual Fin SF,2
Fireplace Qu + Gr Liv Area + Low Qual Fin SF,2
Fireplace Qu + Garage Cond + Kitchen Qual,2
Fireplace Qu + Garage Cond + Low Qual Fin SF,2
Fireplace Qu + Garage Cond + Utilities,2
Fireplace Qu + Garage Qual + Gr Liv Area,2
Fireplace Qu + Garage Qual + Heating QC,2
Fireplace Qu + Garage Qual + Kitchen Qual,2
Fireplace Qu + Garage Qual + Low Qual Fin SF,2
Fireplace Qu + Garage Qual + Utilities,2
Fireplace Qu + Gr Liv Area + Heating QC,2
Fireplace Qu + Gr Liv Area + Kitchen Qual,2
Fireplace Qu + Gr Liv Area + Utilities,2
Garage Cars + Garage Cond + Utilities,2
Fireplace Qu + Heating QC + Kitchen Qual,2
Fireplace Qu + Heating QC + Low Qual Fin SF,2
Fireplace Qu + Heating QC + Utilities,2
Fireplace Qu + Kitchen Qual + Low Qual Fin SF,2
Fireplace Qu + Kitchen Qual + Utilities,2
Fireplace Qu + Low Qual Fin SF + Utilities,2
Garage Cars + Garage Cond + Garage Qual,2
Garage Cars + Garage Cond + Gr Liv Area,2
Garage Cars + Garage Cond + Heating QC,2
Garage Cars + Garage Cond + Kitchen Qual,2
Fireplace Qu + Garage Cond + Heating QC,2
Fireplace Qu + Garage Cond + Gr Liv Area,2
Fireplace Qu + Garage Cond + Garage Qual,2
Fireplace Qu + Garage Cars + Utilities,2
Exter Qual + Garage Qual + Gr Liv Area,2
Exter Qual + Garage Qual + Heating QC,2
Exter Qual + Garage Qual + Kitchen Qual,2
Exter Qual + Garage Qual + Low Qual Fin SF,2
Exter Qual + Garage Qual + Utilities,2
Exter Qual + Gr Liv Area + Heating QC,2
Exter Qual + Gr Liv Area + Kitchen Qual,2
Exter Qual + Gr Liv Area + Low Qual Fin SF,2
Exter Qual + Gr Liv Area + Utilities,2
Exter Qual + Heating QC + Kitchen Qual,2
Exter Qual + Heating QC + Low Qual Fin SF,2
Exter Qual + Heating QC + Utilities,2
Exter Qual + Kitchen Qual + Low Qual Fin SF,2
Exter Qual + Kitchen Qual + Utilities,2
Exter Qual + Low Qual Fin SF + Utilities,2
Fireplace Qu + Garage Cars + Garage Cond,2
Fireplace Qu + Garage Cars + Garage Qual,2
Fireplace Qu + Garage Cars + Gr Liv Area,2
Fireplace Qu + Garage Cars + Heating QC,2
Fireplace Qu + Garage Cars + Kitchen Qual,2
Fireplace Qu + Garage Cars + Low Qual Fin SF,2
Garage Cars + Garage Cond + Low Qual Fin SF,2
Garage Cars + Garage Qual + Gr Liv Area,2
Exter Qual + Garage Cond + Low Qual Fin SF,2
Garage Qual + Kitchen Qual + Low Qual Fin SF,2
Garage Cond + Kitchen Qual + Low Qual Fin SF,2
Garage Cond + Kitchen Qual + Utilities,2
Garage Cond + Low Qual Fin SF + Utilities,2
Garage Qual + Gr Liv Area + Heating QC,2
Garage Qual + Gr Liv Area + Kitchen Qual,2
Garage Qual + Gr Liv Area + Low Qual Fin SF,2
Garage Qual + Gr Liv Area + Utilities,2
Garage Qual + Heating QC + Kitchen Qual,2
Garage Qual + Heating QC + Low Qual Fin SF,2
Garage Qual + Heating QC + Utilities,2
Garage Qual + Kitchen Qual + Utilities,2
Garage Cars + Garage Qual + Heating QC,2
Garage Qual + Low Qual Fin SF + Utilities,2
Gr Liv Area + Heating QC + Kitchen Qual,2
Gr Liv Area + Heating QC + Low Qual Fin SF,2
Gr Liv Area + Heating QC + Utilities,2
Gr Liv Area + Kitchen Qual + Low Qual Fin SF,2
Gr Liv Area + Kitchen Qual + Utilities,2
Gr Liv Area + Low Qual Fin SF + Utilities,2
Heating QC + Kitchen Qual + Low Qual Fin SF,2
Heating QC + Kitchen Qual + Utilities,2
Heating QC + Low Qual Fin SF + Utilities,2
Garage Cond + Heating QC + Utilities,2
Garage Cond + Heating QC + Low Qual Fin SF,2
Garage Cond + Heating QC + Kitchen Qual,2
Garage Cond + Gr Liv Area + Utilities,2
Garage Cars + Garage Qual + Kitchen Qual,2
Garage Cars + Garage Qual + Low Qual Fin SF,2
Garage Cars + Garage Qual + Utilities,2
Garage Cars + Gr Liv Area + Heating QC,2
Garage Cars + Gr Liv Area + Kitchen Qual,2
Garage Cars + Gr Liv Area + Low Qual Fin SF,2
Garage Cars + Gr Liv Area + Utilities,2
Garage Cars + Heating QC + Kitchen Qual,2
Garage Cars + Heating QC + Low Qual Fin SF,2
Garage Cars + Heating QC + Utilities,2
Garage Cars + Kitchen Qual + Low Qual Fin SF,2
Garage Cars + Kitchen Qual + Utilities,2
Garage Cars + Low Qual Fin SF + Utilities,2
Garage Cond + Garage Qual + Gr Liv Area,2
Garage Cond + Garage Qual + Heating QC,2
Garage Cond + Garage Qual + Kitchen Qual,2
Garage Cond + Garage Qual + Low Qual Fin SF,2
Garage Cond + Garage Qual + Utilities,2
Garage Cond + Gr Liv Area + Heating QC,2
Garage Cond + Gr Liv Area + Kitchen Qual,2
Garage Cond + Gr Liv Area + Low Qual Fin SF,2
Exter Qual + Garage Cond + Utilities,2
Exter Qual + Garage Cond + Kitchen Qual,2
BsmtFin SF 1 + Exter Qual + Utilities,2
BsmtFin SF 1 + Low Qual Fin SF + Utilities,2
BsmtFin SF 1 + Garage Qual + Utilities,2
BsmtFin SF 1 + Gr Liv Area + Heating QC,2
BsmtFin SF 1 + Gr Liv Area + Kitchen Qual,2
BsmtFin SF 1 + Gr Liv Area + Low Qual Fin SF,2
BsmtFin SF 1 + Gr Liv Area + Utilities,2
BsmtFin SF 1 + Heating QC + Kitchen Qual,2
BsmtFin SF 1 + Heating QC + Low Qual Fin SF,2
BsmtFin SF 1 + Heating QC + Utilities,2
BsmtFin SF 1 + Kitchen Qual + Low Qual Fin SF,2
BsmtFin SF 1 + Kitchen Qual + Utilities,2
Exter Cond + Exter Qual + Fireplace Qu,2
Exter Cond + Fireplace Qu + Gr Liv Area,2
Exter Cond + Exter Qual + Garage Cars,2
Exter Cond + Exter Qual + Garage Cond,2
Exter Cond + Exter Qual + Garage Qual,2
Exter Cond + Exter Qual + Gr Liv Area,2
Exter Cond + Exter Qual + Heating QC,2
Exter Cond + Exter Qual + Kitchen Qual,2
Exter Cond + Exter Qual + Low Qual Fin SF,2
Exter Cond + Exter Qual + Utilities,2
Exter Cond + Fireplace Qu + Garage Cars,2
Exter Cond + Fireplace Qu + Garage Cond,2
BsmtFin SF 1 + Garage Qual + Low Qual Fin SF,2
BsmtFin SF 1 + Garage Qual + Kitchen Qual,2
BsmtFin SF 1 + Garage Qual + Heating QC,2
BsmtFin SF 1 + Garage Qual + Gr Liv Area,2
BsmtFin SF 1 + Fireplace Qu + Garage Cars,2
BsmtFin SF 1 + Fireplace Qu + Garage Cond,2
BsmtFin SF 1 + Fireplace Qu + Garage Qual,2
BsmtFin SF 1 + Fireplace Qu + Gr Liv Area,2
BsmtFin SF 1 + Fireplace Qu + Heating QC,2
BsmtFin SF 1 + Fireplace Qu + Kitchen Qual,2
BsmtFin SF 1 + Fireplace Qu + Low Qual Fin SF,2
BsmtFin SF 1 + Fireplace Qu + Utilities,2
BsmtFin SF 1 + Garage Cars + Garage Cond,2
BsmtFin SF 1 + Garage Cars + Garage Qual,2
BsmtFin SF 1 + Garage Cars + Gr Liv Area,2
BsmtFin SF 1 + Garage Cars + Heating QC,2
BsmtFin SF 1 + Garage Cars + Kitchen Qual,2
BsmtFin SF 1 + Garage Cars + Low Qual Fin SF,2
BsmtFin SF 1 + Garage Cars + Utilities,2
BsmtFin SF 1 + Garage Cond + Garage Qual,2
BsmtFin SF 1 + Garage Cond + Gr Liv Area,2
BsmtFin SF 1 + Garage Cond + Heating QC,2
BsmtFin SF 1 + Garage Cond + Kitchen Qual,2
BsmtFin SF 1 + Garage Cond + Low Qual Fin SF,2
BsmtFin SF 1 + Garage Cond + Utilities,2
Exter Cond + Fireplace Qu + Garage Qual,2
Exter Cond + Fireplace Qu + Heating QC,2
Exter Qual + Garage Cond + Heating QC,2
Exter Qual + Fireplace Qu + Kitchen Qual,2
Exter Cond + Heating QC + Low Qual Fin SF,2
Exter Cond + Heating QC + Utilities,2
Exter Cond + Kitchen Qual + Low Qual Fin SF,2
Exter Cond + Kitchen Qual + Utilities,2
Exter Cond + Low Qual Fin SF + Utilities,2
Exter Qual + Fireplace Qu + Garage Cars,2
Exter Qual + Fireplace Qu + Garage Cond,2
Exter Qual + Fireplace Qu + Garage Qual,2
Exter Qual + Fireplace Qu + Gr Liv Area,2
Exter Qual + Fireplace Qu + Heating QC,2
Exter Qual + Fireplace Qu + Low Qual Fin SF,2
Exter Cond + Fireplace Qu + Kitchen Qual,2
Exter Qual + Fireplace Qu + Utilities,2
Exter Qual + Garage Cars + Garage Cond,2
Exter Qual + Garage Cars + Garage Qual,2
Exter Qual + Garage Cars + Gr Liv Area,2
Exter Qual + Garage Cars + Heating QC,2
Exter Qual + Garage Cars + Kitchen Qual,2
Exter Qual + Garage Cars + Low Qual Fin SF,2
Exter Qual + Garage Cars + Utilities,2
Exter Qual + Garage Cond + Garage Qual,2
Exter Qual + Garage Cond + Gr Liv Area,2
Exter Cond + Heating QC + Kitchen Qual,2
Exter Cond + Gr Liv Area + Utilities,2
Exter Cond + Gr Liv Area + Low Qual Fin SF,2
Exter Cond + Gr Liv Area + Kitchen Qual,2
Exter Cond + Fireplace Qu + Low Qual Fin SF,2
Exter Cond + Fireplace Qu + Utilities,2
Exter Cond + Garage Cars + Garage Cond,2
Exter Cond + Garage Cars + Garage Qual,2
Exter Cond + Garage Cars + Gr Liv Area,2
Exter Cond + Garage Cars + Heating QC,2
Exter Cond + Garage Cars + Kitchen Qual,2
Exter Cond + Garage Cars + Low Qual Fin SF,2
Exter Cond + Garage Cars + Utilities,2
Exter Cond + Garage Cond + Garage Qual,2
Exter Cond + Garage Cond + Gr Liv Area,2
Exter Cond + Garage Cond + Heating QC,2
Exter Cond + Garage Cond + Kitchen Qual,2
Exter Cond + Garage Cond + Low Qual Fin SF,2
Exter Cond + Garage Cond + Utilities,2
Exter Cond + Garage Qual + Gr Liv Area,2
Exter Cond + Garage Qual + Heating QC,2
Exter Cond + Garage Qual + Kitchen Qual,2
Exter Cond + Garage Qual + Low Qual Fin SF,2
Exter Cond + Garage Qual + Utilities,2
Exter Cond + Gr Liv Area + Heating QC,2
Bsmt Cond + Exter Qual + Garage Cond,2
Bsmt Cond + Exter Qual + Garage Cars,2
Bsmt Cond + Exter Qual + Fireplace Qu,2
1st Flr SF + Bedroom AbvGr + BsmtFin SF 1,2
Gr Liv Area + Utilities,2
Heating QC + Kitchen Qual,2
Heating QC + Low Qual Fin SF,2
Heating QC + Utilities,2
Kitchen Qual + Low Qual Fin SF,2
Kitchen Qual + Utilities,2
Low Qual Fin SF + Utilities,2
1st Flr SF + Bedroom AbvGr + Bsmt Cond,2
1st Flr SF + Bedroom AbvGr + Bsmt Qual,2
1st Flr SF + Bedroom AbvGr + Bsmt Unf SF,2
1st Flr SF + Bedroom AbvGr + Exter Cond,2
1st Flr SF + Bsmt Cond + Bsmt Unf SF,2
1st Flr SF + Bedroom AbvGr + Exter Qual,2
1st Flr SF + Bedroom AbvGr + Fireplace Qu,2
1st Flr SF + Bedroom AbvGr + Garage Cars,2
1st Flr SF + Bedroom AbvGr + Garage Cond,2
1st Flr SF + Bedroom AbvGr + Garage Qual,2
1st Flr SF + Bedroom AbvGr + Gr Liv Area,2
1st Flr SF + Bedroom AbvGr + Heating QC,2
1st Flr SF + Bedroom AbvGr + Kitchen Qual,2
1st Flr SF + Bedroom AbvGr + Low Qual Fin SF,2
1st Flr SF + Bedroom AbvGr + Utilities,2
Gr Liv Area + Low Qual Fin SF,2
Gr Liv Area + Kitchen Qual,2
Gr Liv Area + Heating QC,2
Garage Qual + Utilities,2
Fireplace Qu + Heating QC,2
Fireplace Qu + Kitchen Qual,2
Fireplace Qu + Low Qual Fin SF,2
Fireplace Qu + Utilities,2
Garage Cars + Garage Cond,2
Garage Cars + Garage Qual,2
Garage Cars + Gr Liv Area,2
Garage Cars + Heating QC,2
Garage Cars + Kitchen Qual,2
Garage Cars + Low Qual Fin SF,2
Garage Cars + Utilities,2
Garage Cond + Garage Qual,2
Garage Cond + Gr Liv Area,2
Garage Cond + Heating QC,2
Garage Cond + Kitchen Qual,2
Garage Cond + Low Qual Fin SF,2
Garage Cond + Utilities,2
Garage Qual + Gr Liv Area,2
Garage Qual + Heating QC,2
Garage Qual + Kitchen Qual,2
Garage Qual + Low Qual Fin SF,2
1st Flr SF + Bsmt Cond + Bsmt Qual,2
1st Flr SF + Bsmt Cond + BsmtFin SF 1,2
Fireplace Qu + Garage Qual,2
1st Flr SF + BsmtFin SF 1 + Exter Cond,2
1st Flr SF + Bsmt Unf SF + Exter Qual,2
1st Flr SF + Bsmt Unf SF + Fireplace Qu,2
1st Flr SF + Bsmt Unf SF + Garage Cars,2
1st Flr SF + Bsmt Unf SF + Garage Cond,2
1st Flr SF + Bsmt Unf SF + Garage Qual,2
1st Flr SF + Bsmt Unf SF + Gr Liv Area,2
1st Flr SF + Bsmt Unf SF + Heating QC,2
1st Flr SF + Bsmt Unf SF + Kitchen Qual,2
1st Flr SF + Bsmt Unf SF + Low Qual Fin SF,2
1st Flr SF + Bsmt Unf SF + Utilities,2
1st Flr SF + BsmtFin SF 1 + Exter Qual,2
1st Flr SF + Bsmt Cond + Exter Cond,2
1st Flr SF + BsmtFin SF 1 + Fireplace Qu,2
1st Flr SF + BsmtFin SF 1 + Garage Cars,2
1st Flr SF + BsmtFin SF 1 + Garage Cond,2
1st Flr SF + BsmtFin SF 1 + Garage Qual,2
1st Flr SF + BsmtFin SF 1 + Gr Liv Area,2
1st Flr SF + BsmtFin SF 1 + Heating QC,2
1st Flr SF + BsmtFin SF 1 + Kitchen Qual,2
1st Flr SF + BsmtFin SF 1 + Low Qual Fin SF,2
1st Flr SF + BsmtFin SF 1 + Utilities,2
1st Flr SF + Exter Cond + Exter Qual,2
1st Flr SF + Bsmt Unf SF + Exter Cond,2
1st Flr SF + Bsmt Unf SF + BsmtFin SF 1,2
1st Flr SF + Bsmt Qual + Utilities,2
1st Flr SF + Bsmt Qual + Low Qual Fin SF,2
1st Flr SF + Bsmt Cond + Exter Qual,2
1st Flr SF + Bsmt Cond + Fireplace Qu,2
1st Flr SF + Bsmt Cond + Garage Cars,2
1st Flr SF + Bsmt Cond + Garage Cond,2
1st Flr SF + Bsmt Cond + Garage Qual,2
1st Flr SF + Bsmt Cond + Gr Liv Area,2
1st Flr SF + Bsmt Cond + Heating QC,2
1st Flr SF + Bsmt Cond + Kitchen Qual,2
1st Flr SF + Bsmt Cond + Low Qual Fin SF,2
1st Flr SF + Bsmt Cond + Utilities,2
1st Flr SF + Bsmt Qual + Bsmt Unf SF,2
1st Flr SF + Bsmt Qual + BsmtFin SF 1,2
1st Flr SF + Bsmt Qual + Exter Cond,2
1st Flr SF + Bsmt Qual + Exter Qual,2
1st Flr SF + Bsmt Qual + Fireplace Qu,2
1st Flr SF + Bsmt Qual + Garage Cars,2
1st Flr SF + Bsmt Qual + Garage Cond,2
1st Flr SF + Bsmt Qual + Garage Qual,2
1st Flr SF + Bsmt Qual + Gr Liv Area,2
1st Flr SF + Bsmt Qual + Heating QC,2
1st Flr SF + Bsmt Qual + Kitchen Qual,2
Fireplace Qu + Gr Liv Area,2
Fireplace Qu + Garage Cond,2
1st Flr SF + Exter Cond + Garage Cars,2
Bsmt Cond + Garage Cars,2
Bedroom AbvGr + Heating QC,2
Bedroom AbvGr + Kitchen Qual,2
Bedroom AbvGr + Low Qual Fin SF,2
Bedroom AbvGr + Utilities,2
Bsmt Cond + Bsmt Qual,2
Bsmt Cond + Bsmt Unf SF,2
Bsmt Cond + BsmtFin SF 1,2
Bsmt Cond + Exter Cond,2
Bsmt Cond + Exter Qual,2
Bsmt Cond + Fireplace Qu,2
Bsmt Cond + Garage Cond,2
Bsmt Qual + Garage Cars,2
Bsmt Cond + Garage Qual,2
Bsmt Cond + Gr Liv Area,2
Bsmt Cond + Heating QC,2
Bsmt Cond + Kitchen Qual,2
Bsmt Cond + Low Qual Fin SF,2
Bsmt Cond + Utilities,2
Bsmt Qual + Bsmt Unf SF,2
Bsmt Qual + BsmtFin SF 1,2
Bsmt Qual + Exter Cond,2
Bsmt Qual + Exter Qual,2
Bedroom AbvGr + Gr Liv Area,2
Bedroom AbvGr + Garage Qual,2
